cluster_label,base-model,canonical-gemini-flash-lite,entropy-collapse,frontier/mixed-model,obsession,source-citation
cluster_00,0.0,0.0,0.9484165850473392,0.001632386549134835,0.015997388181521383,0.03395364022200457
cluster_01,0.028985507246376812,0.23768115942028986,0.6898550724637681,0.028985507246376812,0.002318840579710145,0.01217391304347826
cluster_02,0.02701271186440678,0.4269067796610169,0.5434322033898306,0.0,0.0026483050847457626,0.0
cluster_03,0.9445525291828794,0.0019455252918287938,0.05155642023346303,0.0019455252918287938,0.0,0.0
cluster_04,0.4701298701298701,0.07922077922077922,0.44805194805194803,0.0012987012987012987,0.0,0.0012987012987012987
cluster_05,0.17523533671252717,0.11585807385952208,0.5380159304851557,0.001448225923244026,0.09051412020275162,0.07892831281679942
cluster_06,0.0,0.0032530904359141183,0.9967469095640858,0.0,0.0,0.0
cluster_07,0.0025278058645096056,0.4595551061678463,0.5364004044489383,0.0,0.0,0.0015166835187057635
cluster_08,0.08541973490427099,0.33578792341678937,0.4793814432989691,0.004418262150220913,0.09057437407952872,0.004418262150220913
cluster_09,0.0010126582278481013,0.0,0.8567088607594937,0.006582278481012658,0.053670886075949366,0.0820253164556962
cluster_10,0.01015228426395939,0.4077834179357022,0.5676818950930627,0.00676818950930626,0.001692047377326565,0.005922165820642978
cluster_11,0.011262318160488035,0.008446738620366025,0.9352416705771938,0.04317221961520413,0.0,0.0018770530267480056
cluster_12,0.015052356020942409,0.0,0.20418848167539266,0.0,0.7729057591623036,0.007853403141361256
cluster_13,0.024545454545454544,0.01,0.9636363636363636,0.0,0.0013636363636363637,0.00045454545454545455
cluster_14,0.0018633540372670807,0.014906832298136646,0.9832298136645963,0.0,0.0,0.0
cluster_15,0.0004269854824935952,0.004696840307429547,0.7463706233988044,0.0,0.20153714773697695,0.04696840307429547
cluster_16,0.0068463842533162175,0.46127513906718015,0.519469405220368,0.0008557980316645272,0.01069747539580659,0.0008557980316645272
cluster_17,0.0,0.0,0.9522184300341296,0.0,0.022753128555176336,0.02502844141069397
cluster_18,0.9866785079928952,0.0017761989342806395,0.011545293072824156,0.0,0.0,0.0
cluster_19,0.0023455824863174357,0.0,0.9022673964034402,0.001954652071931196,0.042611415168100075,0.0508209538702111
cluster_20,0.010057471264367816,0.003160919540229885,0.8632183908045977,0.0,0.03333333333333333,0.09022988505747126
cluster_21,0.005296610169491525,0.4163135593220339,0.5720338983050848,0.0,0.006355932203389831,0.0
cluster_22,0.9083769633507853,0.005235602094240838,0.08507853403141362,0.0013089005235602095,0.0,0.0
cluster_23,0.0015408320493066256,0.35824345146379044,0.6394453004622496,0.0007704160246533128,0.0,0.0
cluster_24,0.1309192200557103,0.43398328690807797,0.42506963788300833,0.0022284122562674096,0.0072423398328690805,0.0005571030640668524
cluster_25,0.8656286043829297,0.006920415224913495,0.11937716262975778,0.005190311418685121,0.002306805074971165,0.0005767012687427913
cluster_26,0.10340226817878585,0.1801200800533689,0.6884589726484323,0.01200800533689126,0.008005336891260841,0.008005336891260841
cluster_27,0.006944444444444444,0.39197530864197533,0.5979938271604939,0.0,0.0030864197530864196,0.0
cluster_28,0.0203862660944206,0.004291845493562232,0.10622317596566523,0.02145922746781116,0.8412017167381974,0.006437768240343348
cluster_29,0.04956488838441166,0.48127128263337116,0.4547862277714718,0.0007567158531971245,0.004161937192584185,0.009458948164964056
cluster_30,0.16558441558441558,0.08279220779220779,0.3952922077922078,0.12012987012987013,0.18262987012987014,0.05357142857142857
cluster_31,0.06687472135532768,0.3530985287561302,0.5479268836379848,0.01961658493089612,0.011145786892554615,0.0013374944271065537
cluster_32,0.34878193701723115,0.27450980392156865,0.3660130718954248,0.006535947712418301,0.0011883541295306002,0.0029708853238265003
cluster_33,0.9479553903345725,0.011152416356877323,0.040892193308550186,0.0,0.0,0.0
cluster_34,0.9991915925626516,0.0,0.0008084074373484236,0.0,0.0,0.0
cluster_35,0.9942857142857143,0.0,0.005714285714285714,0.0,0.0,0.0
cluster_36,0.04513888888888889,0.4565972222222222,0.49074074074074076,0.001736111111111111,0.0011574074074074073,0.004629629629629629
cluster_37,0.0006934812760055479,0.004160887656033287,0.9625520110957004,0.027739251040221916,0.0,0.0048543689320388345
cluster_38,0.007180469123982767,0.4691239827668741,0.517951172809957,0.003350885591191958,0.0014360938247965534,0.0009573958831977022
cluster_39,0.03106508875739645,0.027366863905325445,0.8801775147928994,0.05621301775147929,0.0,0.005177514792899409
cluster_40,0.9972770592239619,0.0,0.0020422055820285907,0.0,0.0,0.0006807351940095302
cluster_41,0.0033879164313946925,0.4116318464144551,0.5765104460756635,0.0,0.006211180124223602,0.002258610954263128
cluster_42,0.07665656128194023,0.44088349935036814,0.4699003897791252,0.0073624945864010395,0.0034647033347769596,0.0017323516673884798
cluster_43,0.15919037199124728,0.2959518599562363,0.5300875273522976,0.010393873085339168,0.00437636761487965,0.0
cluster_44,0.0008456659619450317,0.006342494714587738,0.786892177589852,0.056659619450317125,0.023678646934460888,0.12558139534883722
cluster_45,0.0,0.0,1.0,0.0,0.0,0.0
cluster_46,0.04157549234135667,0.03282275711159737,0.775346462436178,0.03282275711159737,0.04157549234135667,0.07585703865791393
cluster_47,0.009510869565217392,0.05366847826086957,0.5427989130434783,0.0,0.33695652173913043,0.057065217391304345
