bin_end_min,bin_idx,bin_label,bin_start_min,distinct_1_mean,distinct_2_mean,distinct_3_mean,distinct_4_mean,distinct_5_mean,n_runs_present,scale
2.5,0,0-2,0.0,0.6974649702063761,0.9716649514942186,0.9929073682361773,0.9959416756077187,0.9961947162160417,6,n10
5.0,1,2-5,2.5,0.6730279606225643,0.977745398566562,0.997233635994797,0.9987256090333615,0.9991182622649125,6,n10
7.5,2,5-7,5.0,0.6880845799306526,0.9800781544785635,0.9987414792733808,0.9998684556695606,1.0,6,n10
10.0,3,7-10,7.5,0.884001652023729,1.0,1.0,1.0,1.0,2,n10
