k,seed,run_uid,scheme,first_bin,final_bin,first_n_posts,final_n_posts,delta_dominant_share,delta_topic_entropy_norm,delta_effective_topics,delta_topic_hhi,delta_topic_hhi_norm,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
8,11,0e810c3a077d74956348bd4b33566f4e5e61696a,fixed_15m,0-15m,45-60m,124,115,0.1432678821879383,-0.1915378452113277,-0.568190256310305,0.2404868412511384,0.2748421042870153,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,dom-tech,n10,10,ec-dom-tech-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
8,11,0e810c3a077d74956348bd4b33566f4e5e61696a,normalized_quartile,Q1,Q4,143,162,0.04191487524820858,-0.01572010087794032,-0.05290802368048131,0.06300190057996036,0.07200217209138327,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,dom-tech,n10,10,ec-dom-tech-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-dom-tech-n10-run01
8,11,0ee98d63b346418608942fa67b651868996e3851,fixed_15m,0-15m,45-60m,96,52,0.13060897435897434,-0.037019839753604455,-0.13898394153162807,0.11997529380341876,0.1371146214896215,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
8,11,0ee98d63b346418608942fa67b651868996e3851,normalized_quartile,Q1,Q4,95,56,0.1372180451127819,-0.046350891925477755,-0.17143253642693668,0.13302582113177674,0.1520295098648876,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/dom-agi
8,11,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,fixed_15m,0-15m,45-60m,139,107,0.10219861493982385,-0.17087466231276377,-0.5430706756469204,0.17327199826366468,0.1980251408727597,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,mag5,n10,10,ec-mag5-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
8,11,157bffe22d7d86eb0676ffe902ad39c39a5bfc65,normalized_quartile,Q1,Q4,163,172,0.12915537166500213,-0.23866500589179074,-0.6659877228381055,0.23180602631420955,0.2649211729305252,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,mag5,n10,10,ec-mag5-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
8,11,18088a92d62b15012b1a8e4e157b4004bfeed062,fixed_15m,0-15m,45-60m,105,32,-0.3151785714285714,0.3403239674501274,1.209243017240226,-0.44980495323129255,-0.5140628036929058,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
8,11,18088a92d62b15012b1a8e4e157b4004bfeed062,normalized_quartile,Q1,Q4,99,38,-0.39074960127591707,0.35986437951597455,1.318559088046234,-0.4946349247532829,-0.5652970568608948,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag5
8,11,1db20037aead8578550d08c4c9a85a108d16df59,fixed_15m,0-15m,45-60m,93,28,0.021505376344086002,-0.057105581272277994,-0.12608579122842323,0.042317030870620886,0.04836232099499527,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag1
8,11,1db20037aead8578550d08c4c9a85a108d16df59,normalized_quartile,Q1,Q4,90,33,0.022222222222222254,-0.058654800850328044,-0.1297193392246181,0.0437037037037038,0.04994708994709007,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,mag1,n10,10,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/mag1
