group,n_runs,n_posts,embedding_mean_pairwise_cosine,dominant_cluster_share,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged_sample,sample_collapse_index,n_full_nonseed_posts_with_judged_cells,n_judged_y,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,weighted_collapse_index,mean_pairwise_cosine
entropy-collapse,91,51061,0.4577174387621076,0.45391144432977,1.8555417185554173,3.951432129514321,4.549190535491905,4.095890410958904,2.5292652552926524,1.4346201743462017,2.2104607721046077,3.4782067247820674,1.012453300124533,803,4.018679950186799,50000,803,1.7397393085655315,4.135257684898521,4.68706901745786,4.289100869883041,2.5865594685242517,1.4538757688338493,1.9576052377880975,3.7110241636566905,1.00931875,4.205612933974028,0.4577174387621076
canonical-gemini-flash-lite,18,14314,0.4375861568583382,0.3851769137009384,1.6458333333333333,4.260416666666667,4.8125,4.385416666666667,2.2534722222222223,1.28125,1.5243055555555556,3.1041666666666665,1.0,288,4.140625000000001,14071,288,1.6741880463364367,4.228475232748205,4.8108432236514815,4.336618754885936,2.3250346457252506,1.2912239712884657,1.5283650771089474,3.0353564067941154,1.0,4.102823404519935,0.4375861568583382
source-citation,8,1859,0.4472710192203522,0.3569691040193675,1.78125,3.921875,4.421875,3.859375,2.890625,1.484375,2.375,3.828125,1.03125,64,4.0078125,1699,64,1.7812316068275456,3.923594761624485,4.418371100647439,3.853443201883461,2.9091377280753385,1.4872351383166569,2.3776486168334316,3.8346085932901706,1.0328869923484403,4.007504414361389,0.4472710192203522
base-model,103,12774,0.4259936641720892,0.5930451873402645,1.9137254901960783,3.4019607843137254,3.966666666666667,3.5294117647058822,2.4058823529411764,1.4627450980392156,1.9294117647058824,3.1294117647058823,1.031372549019608,510,3.506862745098039,12491,510,1.6617189932306817,3.9274377979495663,4.460233829895986,4.119322416413322,2.097371825663195,1.3340718052040204,1.811427757900218,3.4812724991053385,1.0185393739902986,3.9970666358410534,0.4259936641720892
obsession,18,4215,0.3747540596458647,0.5675064536618297,2.627272727272727,2.981818181818182,3.8545454545454545,3.036363636363636,4.181818181818182,2.327272727272727,2.5090909090909093,3.827272727272727,1.0272727272727271,110,3.425,3903,110,2.538383935434281,3.103595524809975,3.97960970193868,3.1628234691263133,4.272071696985225,2.3602143650183622,2.4430672986591513,4.098716799043471,1.0322828593389701,3.58618637372961,0.3747540596458647
frontier/mixed-model,3,807,0.3906253774960835,0.2293327959722516,2.75,2.75,3.625,2.9375,3.0625,2.3125,3.25,2.4375,1.4375,16,2.9375,732,16,2.75,2.75,3.625,2.9375,3.0625,2.3125,3.25,2.4375,1.4375,2.9375,0.3906253774960835
