group,model_family,condition,scale,n_full_nonseed_cell,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,n_judged_cell
canonical-48,gemini-flash-lite,mag5,n20,857,1.75,4.0625,4.6875,4.0,2.375,1.1875,1.75,2.6875,1.0,16
canonical-48,gemini-flash-lite,mag5,n30,1457,1.9375,3.8125,4.6875,3.75,2.625,1.375,1.5625,2.4375,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,dom-agi,n30,659,1.4375,4.375,4.6875,4.4375,1.9375,1.1875,1.25,3.875,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,dom-tech,n20,551,1.125,4.875,5.0,4.9375,1.3125,1.0,1.1875,4.0625,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,dom-tech,n30,1277,1.4375,4.4375,4.8125,4.1875,2.3125,1.25,1.0625,3.25,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag0,n10,472,2.0,3.9375,4.875,4.0,1.9375,1.0625,1.625,2.0625,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag0,n20,665,1.9375,3.875,4.625,4.125,2.5,1.4375,1.5625,2.6875,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag0,n30,1361,1.5,4.5,4.9375,4.5625,2.5,1.25,1.5625,3.5,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag1,n10,345,1.5,4.4375,4.8125,4.625,2.625,1.8125,1.5,3.5625,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag1,n20,1193,1.75,4.25,4.875,4.375,2.5625,1.4375,1.375,3.0,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag1,n30,890,1.5,4.4375,4.6875,4.375,2.25,1.3125,1.5625,3.25,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag25,n10,418,1.625,4.1875,4.625,4.375,2.375,1.375,1.875,3.125,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag25,n20,754,1.5,4.25,4.6875,4.375,2.375,1.5625,1.375,3.25,1.0,16
canonical-48,google/gemini-3.1-flash-lite-preview,mag5,n10,423,1.1875,4.8125,5.0,4.9375,1.625,1.0,1.1875,4.125,1.0,16
canonical-48,gpt-5,dom-agi,n10,464,2.1875,3.5,4.4375,3.9375,3.8125,2.25,2.125,4.0,1.0,16
canonical-48,gpt-5,dom-agi,n20,1085,1.75,3.9375,4.75,4.125,2.9375,1.375,1.5,4.1875,1.0,16
canonical-48,gpt-5,dom-agi,n30,1570,1.5625,4.375,4.875,4.625,3.3125,1.75,1.8125,4.3125,1.0,16
canonical-48,gpt-5,dom-tech,n10,501,1.5625,4.1875,4.5625,4.5,3.5,1.6875,1.75,4.1875,1.0,16
canonical-48,gpt-5,dom-tech,n20,961,2.0625,3.875,4.625,4.25,3.4375,1.9375,1.8125,4.0625,1.0,16
canonical-48,gpt-5,dom-tech,n30,1391,1.875,4.125,4.875,4.5625,3.6875,2.0625,1.8125,4.3125,1.0,16
canonical-48,gpt-5,mag0,n10,480,2.5,3.1875,4.0625,3.3125,3.3125,1.875,2.5625,3.1875,1.0,16
canonical-48,gpt-5,mag0,n20,1157,2.0,3.75,4.5,3.8125,3.4375,1.875,2.5625,4.1875,1.125,16
canonical-48,gpt-5,mag0,n30,1613,2.0625,3.9375,4.5625,4.1875,3.5,1.375,1.875,4.25,1.0,16
canonical-48,gpt-5,mag1,n10,508,1.875,3.9375,4.6875,4.0625,3.1875,1.875,1.875,3.75,1.0,16
canonical-48,gpt-5,mag1,n20,1049,1.625,4.4375,5.0,4.9375,3.4375,1.5,2.9375,4.625,1.0,16
canonical-48,gpt-5,mag1,n30,1612,1.6875,4.125,4.625,4.3125,3.1875,1.625,2.5,4.0,1.0,16
canonical-48,gpt-5,mag25,n10,346,1.75,4.0,4.75,4.5625,3.0625,1.4375,2.3125,3.9375,1.0,16
canonical-48,gpt-5,mag25,n20,2149,1.625,4.25,4.8125,4.625,3.3125,1.5,2.5,4.5,1.0,16
canonical-48,gpt-5,mag25,n30,1589,1.75,4.125,4.875,4.4375,3.75,2.125,2.5,4.5,1.0,16
canonical-48,gpt-5,mag5,n10,282,1.375,4.5,4.875,4.8125,3.0625,1.25,2.625,4.3125,1.0,16
canonical-48,gpt-5,mag5,n20,885,1.375,4.5,4.9375,4.75,3.625,1.375,2.5625,4.625,1.0,16
canonical-48,gpt-5,mag5,n30,1580,1.875,4.0625,4.625,4.1875,3.5,1.875,2.375,4.25,1.0,16
canonical-48,moonshotai/kimi-k2.5,dom-agi,n10,612,2.1875,3.75,4.5,3.875,2.25,1.3125,2.75,3.0625,1.0,16
canonical-48,moonshotai/kimi-k2.5,dom-tech,n10,627,1.6875,4.25,4.8125,4.5625,1.75,1.0625,2.625,3.375,1.0,16
canonical-48,moonshotai/kimi-k2.5,mag0,n10,620,2.0,4.0,4.375,4.125,1.8125,1.25,2.5625,3.1875,1.0,16
canonical-48,moonshotai/kimi-k2.5,mag1,n10,455,2.0625,3.625,4.5,4.125,2.0625,1.1875,3.0625,2.625,1.0,16
canonical-48,moonshotai/kimi-k2.5,mag25,n10,673,1.5625,4.25,4.8125,4.375,1.4375,1.0625,2.0,3.625,1.0,16
canonical-48,moonshotai/kimi-k2.5,mag5,n10,650,2.125,3.625,4.5,4.0,2.1875,1.3125,3.0625,3.0625,1.0,16
canonical-48,z-ai/glm-5,dom-agi,n10,245,3.0625,2.5625,3.375,2.5625,3.0,1.8125,4.125,1.8125,1.125,16
canonical-48,z-ai/glm-5,dom-tech,n10,253,2.5,3.25,4.3125,3.5625,2.5,1.5,3.625,2.1875,1.0,16
canonical-48,z-ai/glm-5,mag0,n10,317,3.0,2.75,3.6875,3.0625,3.1875,1.9375,3.625,1.9375,1.125,16
canonical-48,z-ai/glm-5,mag1,n10,266,2.625,2.75,3.8125,2.9375,2.5,1.4375,3.25,2.375,1.0,16
canonical-48,z-ai/glm-5,mag25,n10,251,2.375,3.3125,4.0,3.375,2.4375,1.375,3.5,2.4375,1.0625,16
canonical-48,z-ai/glm-5,mag5,n10,228,2.9375,2.9375,3.8125,3.125,2.9375,1.6875,3.6875,1.8125,1.25,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,n10,592,1.25,4.5625,4.6875,4.375,1.375,1.0625,1.125,4.25,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,n20,1439,1.3125,4.6875,4.9375,4.6875,1.4375,1.0625,1.375,4.1875,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-agi,n30,659,1.3125,4.6875,5.0,4.6875,1.8125,1.1875,1.25,4.125,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,n10,255,1.4166666666666667,4.416666666666667,4.833333333333333,4.5,2.5833333333333335,1.1666666666666667,1.3333333333333333,3.25,1.0,12
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,n20,1260,1.125,4.8125,4.9375,4.9375,1.875,1.375,1.1875,4.3125,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,dom-tech,n30,1277,1.5625,4.25,4.75,4.25,2.3125,1.1875,1.625,2.8125,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,n1,6,1.5,3.0,3.25,2.5,1.0,1.0,2.25,3.0,1.0,4
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,n10,930,1.8125,4.0,4.75,4.25,2.5625,1.5,1.4375,3.25,1.0625,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,n20,1532,1.75,4.125,4.625,4.125,2.5,1.375,1.5625,3.0,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag0,n30,3943,1.3125,4.6875,5.0,4.625,2.25,1.25,1.125,3.5625,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,n10,361,1.625,4.25,4.8125,4.75,2.875,2.1875,1.125,3.625,1.1875,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,n20,1570,1.875,4.0625,4.8125,4.25,2.8125,1.875,1.6875,2.875,1.1875,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag1,n30,890,1.75,4.125,4.75,4.375,2.1875,1.25,1.375,3.0,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,n10,953,1.4375,4.5625,4.8125,4.5625,1.875,1.0625,1.5,3.6875,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,n20,1158,1.6875,4.0625,4.8125,4.4375,2.625,1.875,1.3125,2.6875,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag25,n30,2043,1.4375,4.5625,5.0,4.875,1.5625,1.0,1.375,4.0,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,n10,1136,1.0625,4.875,4.9375,4.8125,1.5625,1.0625,1.25,4.4375,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,n20,1898,1.4375,4.375,4.75,4.5,1.5,1.125,1.25,4.0625,1.0,16
entropy-collapse,google/gemini-3.1-flash-lite-preview,mag5,n30,2216,1.3125,4.5625,4.875,4.625,1.5625,1.0625,1.4375,3.8125,1.0,16
entropy-collapse,gpt-5,dom-agi,n20,1085,2.0625,3.8125,4.5625,3.875,3.25,1.375,2.0625,4.0625,1.0,16
entropy-collapse,gpt-5,dom-agi,n30,1570,1.4375,4.375,4.75,4.5,3.5625,1.875,1.5,4.25,1.0,16
entropy-collapse,gpt-5,dom-agi,unknown,663,2.1875,3.5625,4.375,3.5625,3.3125,1.5625,2.0625,3.8125,1.0,16
entropy-collapse,gpt-5,dom-tech,n20,961,1.75,4.0625,4.8125,4.3125,3.25,1.375,1.6875,4.1875,1.0,16
entropy-collapse,gpt-5,dom-tech,n30,1391,2.0,3.75,4.375,3.9375,3.4375,2.1875,2.25,3.75,1.0,16
entropy-collapse,gpt-5,dom-tech,unknown,563,2.3125,3.3125,4.0,3.125,2.875,1.375,2.3125,3.4375,1.0,16
entropy-collapse,gpt-5,mag0,n20,1157,2.0625,3.6875,4.5,4.125,3.875,2.0,2.375,4.125,1.3125,16
entropy-collapse,gpt-5,mag0,n30,1613,1.9375,3.9375,4.75,4.125,3.4375,1.75,2.125,4.125,1.0,16
entropy-collapse,gpt-5,mag0,unknown,511,2.5,3.4375,4.0625,3.375,3.125,1.5,2.1875,3.0,1.0,16
entropy-collapse,gpt-5,mag1,n20,1049,1.75,4.0625,4.75,4.375,3.4375,1.5,2.8125,4.125,1.0,16
entropy-collapse,gpt-5,mag1,n30,1612,1.6875,4.1875,4.8125,4.1875,3.6875,1.875,2.5625,4.125,1.0,16
entropy-collapse,gpt-5,mag1,unknown,539,2.25,3.4375,4.125,3.625,2.25,1.125,2.875,3.0,1.0,16
entropy-collapse,gpt-5,mag25,n20,2149,1.8125,4.0625,4.5625,4.3125,3.5625,1.5625,2.4375,4.1875,1.0,16
