scale,condition,condition_label,run_name,label,n_posts,n_family_posts,n_other_posts,family_phrases,all_dominant_topic,all_dominant_share,all_concentration_hhi,family_dominant_topic,family_dominant_share,family_concentration_hhi,other_dominant_topic,other_dominant_share,other_concentration_hhi,late_dominant_topic,late_dominant_share,late_concentration_hhi,family_minus_all_dominant_share,all_share_evidence,all_share_testing,all_share_ownership,all_share_time,all_share_risk,family_share_evidence,family_share_testing,family_share_ownership,family_share_time,family_share_risk,late_share_evidence,late_share_testing,late_share_ownership,late_share_time,late_share_risk
n10,mag0,Empty feed,ec-mag0-n10-run01,10a Empty feed,620,12,608,agent alpha holes agent theta | alpha holes agent theta gifts,time,0.375806,0.297856,testing,0.75,0.625,time,0.378289,0.295138,testing,0.492754,0.392145,0.374194,0.072581,0.366129,0.085484,0.375806,0.1,0.0,0.75,0.0,0.25,0.0,0.043478,0.492754,0.014493,0.376812,0.072464
n10,mag1,1 conspiracy,ec-mag1-n10-run01,10a 1 conspiracy,455,21,434,agent theta holds mirrors agent | theta holds mirrors agent eta,testing,0.279121,0.209767,testing,0.666667,0.478458,testing,0.260369,0.206641,testing,0.316327,0.231778,0.387546,0.215385,0.279121,0.18022,0.169231,0.156044,0.095238,0.666667,0.047619,0.142857,0.047619,0.153061,0.316327,0.081633,0.204082,0.244898
n10,mag5,5 conspiracies,ec-mag5-n10-run01,10a 5 conspiracies,650,17,633,agent alpha models epistemic humility,risk,0.3,0.234793,testing,0.411765,0.321799,risk,0.304897,0.235487,risk,0.392523,0.283081,0.111765,0.075385,0.193846,0.281538,0.149231,0.3,0.117647,0.411765,0.352941,0.0,0.117647,0.037383,0.186916,0.28972,0.093458,0.392523
n10,mag25,25 conspiracies,ec-mag25-n10-run01,10a 25 conspiracies,673,36,637,agent zeta challenges agent eta,time,0.384844,0.311711,testing,0.75,0.625,time,0.392465,0.304378,testing,0.557692,0.4473,0.365156,0.060921,0.380386,0.093611,0.384844,0.080238,0.0,0.75,0.0,0.25,0.0,0.009615,0.557692,0.019231,0.365385,0.048077
n10,dom-agi,25 AGI hype,ec-dom-agi-n10-run01,10a 25 AGI hype,612,33,579,agent zeta says continuing continuing,testing,0.446078,0.312022,testing,0.272727,0.221304,testing,0.455959,0.323305,testing,0.6,0.475207,-0.173351,0.153595,0.446078,0.042484,0.287582,0.070261,0.242424,0.272727,0.121212,0.121212,0.242424,0.027273,0.6,0.0,0.336364,0.036364
n10,dom-tech,25 tech humor,ec-dom-tech-n10-run01,10a 25 tech humor,627,54,573,agent iota sits uncertainty agent,time,0.403509,0.263275,testing,0.555556,0.424554,time,0.410122,0.262149,time,0.391304,0.259433,0.152047,0.08134,0.22807,0.125997,0.403509,0.161085,0.018519,0.555556,0.055556,0.333333,0.037037,0.078261,0.234783,0.121739,0.391304,0.173913
