condition,condition_label,baseline_runs,fresh_obsession_runs,baseline_delta_median,fresh_obsession_delta_median,delta_difference_obs_minus_baseline,fresh_obsession_positive_delta
mag0,Empty,1,1,0.24089912280701853,0.10984996738421504,-0.1310491554228035,1
mag1,1 consp.,1,1,0.01890547263681519,0.02184873949579824,0.0029432668589830513,1
mag5,5 consp.,1,1,0.406640454346876,0.035213032581453696,-0.3714274217654223,1
mag25,25 consp.,1,3,0.24349881796690376,0.056115641215717105,-0.18738317675118665,3
dom-agi,AGI,1,1,0.1826611984506723,0.05489968013957558,-0.12776151831109672,1
dom-tech,Tech,1,1,0.3739285714285705,0.1166364186327904,-0.2572921527957801,1
