bigram_entropy,condition,distinct_1,distinct_2,distinct_3,effective_vocab_size,exact_duplicate_rate,mean_structural_overlap_by_agent,mean_structural_similarity,mean_token_jaccard,mean_top20_vocab_overlap,median_structural_similarity,median_token_jaccard,n_agents,n_posts,near_duplicate_rate,normalized_vocab_size,scale,segment,top_10_signature_coverage,top_10_token_coverage,top_25_token_coverage,top_50_token_coverage,unigram_entropy,unique_structural_signatures
9.300681148167662,mag0,0.7088989441930619,0.9860031104199067,0.9983948635634029,291.684804246848,0.0,0.12592592592592594,0.2542982456140351,0.02130317120720595,0.05333333333333333,0.0,0.017549261083743842,10,20,0.0,0.7088989441930619,n10,first_agent_posts,1.0,0.10407239819004525,0.18250377073906485,0.27601809954751133,8.623250793493913,8
8.691782420331549,mag0,0.6023856858846919,0.8985507246376812,0.9568034557235421,179.05803255484787,0.0,0.2111111111111111,0.2615789473684211,0.03338718914453878,0.07111111111111111,0.0,0.01818181818181818,10,20,0.0,0.6023856858846919,n10,last_agent_posts,1.0,0.14512922465208747,0.27435387673956263,0.39363817097415504,7.916062421691729,9
10.821876390415008,mag0,0.3760330578512397,0.8452943704340352,0.9404655326768129,344.6563088512241,0.0,0.12035458368791702,0.249625,0.02874717807607117,0.11666666666666667,0.0,0.0196078431372549,10,93,0.0,0.3760330578512397,n10,late_window,0.7741935483870968,0.09752066115702479,0.1896694214876033,0.28801652892561985,9.15108788403903,26
9.89245210977326,mag1,0.6796019900497512,0.9746192893401016,0.9937823834196892,456.81818181818187,0.0,0.06666666666666667,0.2568984962406015,0.02363947090625079,0.037777777777777785,0.2,0.015625,10,20,0.0,0.6796019900497512,n10,first_agent_posts,0.85,0.06965174129353234,0.1383084577114428,0.21691542288557214,9.172197566304273,13
8.915268482792323,mag1,0.5314009661835749,0.8618968386023295,0.9242685025817556,182.6816674561819,0.0,0.014814814814814814,0.16281328320802005,0.05223864827350722,0.1,0.0,0.03278688524590164,10,20,0.0,0.5314009661835749,n10,last_agent_posts,0.6,0.14009661835748793,0.26247987117552335,0.3993558776167472,7.988119761844391,18
10.983274121579617,mag1,0.31061896649630893,0.7521192633732827,0.852710843373494,298.88882463495736,0.0,0.0886417843899784,0.1889607142857143,0.05074458854435382,0.23222222222222225,0.0,0.029850746268656716,10,101,0.0,0.31061896649630893,n10,late_window,0.5148514851485149,0.11726291879613855,0.21834185122089722,0.3182850653038047,9.18109008259424,49
9.856168397783499,mag5,0.5,0.8484087102177554,0.9122657580919932,301.51309328968904,0.050000000000000044,0.05185185185185184,0.23278822055137846,0.06347140958936429,0.08777777777777779,0.14285714285714285,0.045871559633027525,10,20,0.050000000000000044,0.5,n10,first_agent_posts,0.75,0.09967051070840198,0.19439868204283361,0.3039538714991763,8.788256044996446,15
8.400950660909247,mag5,0.3669172932330827,0.6682170542635659,0.7712,91.46328852119959,0.050000000000000044,0.1148148148148148,0.3903508771929825,0.13998451149406457,0.21666666666666667,0.4,0.125,10,20,0.050000000000000044,0.3669172932330827,n10,last_agent_posts,0.95,0.23759398496240602,0.4345864661654135,0.6120300751879699,7.188808542186324,11
9.556796229037262,mag5,0.20070838252656434,0.5323886639676113,0.6636098374322634,98.7698061831699,0.05633802816901412,0.17552701927701927,0.40880357142857143,0.16080678749708624,0.3680555555555556,0.3333333333333333,0.14814814814814814,9,71,0.05633802816901412,0.20070838252656434,n10,late_window,0.8169014084507042,0.23455332546241636,0.42542306178669814,0.5883510428964974,7.616664439489954,22
10.068609424196111,mag25,0.6073883161512027,0.9606643356643356,0.9928825622775801,394.09424083769636,0.0,0.029629629629629627,0.16157894736842104,0.03770581568260096,0.07777777777777778,0.0,0.032206786923768056,10,20,0.0,0.6073883161512027,n10,first_agent_posts,0.7,0.08505154639175258,0.15979381443298968,0.25257731958762886,9.117880321193134,16
