condition,delta_mean_pairwise_cosine,delta_semantic_radius,delta_vendi_score,display_family_label,final_bin,final_n_available,first_bin,first_n_available,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag5,-0.023025073409080554,0.016155182719230665,0.1291841041641666,Single-model final runs,Q4,98,Q1,239,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag5-n20-run01,a16100736f741b548f67e5c4cb59febadb038fb6,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag5-n20-run01
mag0,0.005444403886795068,-0.003827522993087751,-0.0840062327013138,Single-model final runs,45-60m,51,0-15m,106,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag0-n10-run01,a67c72b10e243c3cb1cc64235c83a876b68f4af6,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag0-n10-run01
mag0,0.01820324003696444,-0.012727795243263229,-0.22948012775065418,Single-model final runs,Q4,61,Q1,101,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag0-n10-run01,a67c72b10e243c3cb1cc64235c83a876b68f4af6,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag0-n10-run01
mag5,0.09419179022312163,-0.05734738767147063,-0.5784855464713381,Single-model final runs,45-60m,21,0-15m,109,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag5-run04,b068c4711834243dbb5129c3f6e17813ea019027,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag5-run04
mag5,0.07860200405120854,-0.04986206263303755,-0.6729348602423801,Single-model final runs,Q4,45,Q1,100,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag5-run04,b068c4711834243dbb5129c3f6e17813ea019027,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag5-run04
mag5,-0.01309254765510559,0.008608086705207824,0.07901076944485208,Single-model final runs,45-60m,146,0-15m,249,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag5-n20-run01,b274a426924c6f3f234fcd104f728d07dcc04a03,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag5-n20-run01
mag5,-0.009812169075012256,0.006440263390541073,0.05083261181874743,Single-model final runs,Q4,160,Q1,245,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag5-n20-run01,b274a426924c6f3f234fcd104f728d07dcc04a03,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag5-n20-run01
mag5,0.2901739752292633,-0.18763568401336672,-2.7860595436549205,Single-model final runs,45-60m,74,0-15m,139,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag5-n10-run01,b7fe33911b2613a99c1eaed241b2bacfe46af515,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag5-n10-run01
mag5,0.2721452921628952,-0.17681518137454988,-2.7730944013484686,Single-model final runs,Q4,85,Q1,133,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag5-n10-run01,b7fe33911b2613a99c1eaed241b2bacfe46af515,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag5-n10-run01
mag1,0.043219830989837615,-0.029058639705181105,-0.5805642380713092,Single-model final runs,45-60m,98,0-15m,142,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag1-n10-run01,bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag1-n10-run01
mag1,0.04483011841773987,-0.030283759534358967,-0.5625683865661699,Single-model final runs,Q4,116,Q1,135,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag1-n10-run01,bc19d8fdf4a7fe00f0c24d267590e3efec58a8b0,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag1-n10-run01
mag0,0.040570572614669786,-0.02688471734523773,-0.7140909689977666,Single-model final runs,45-60m,69,0-15m,149,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag0-n10-run01,be3cc4472a58a0005e16432801fb120a461f3a19,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag0-n10-run01
mag0,0.09590001940727233,-0.062097381651401495,-1.2741299726629522,Single-model final runs,Q4,126,Q1,201,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag0-n10-run01,be3cc4472a58a0005e16432801fb120a461f3a19,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag0-n10-run01
mag1,0.13989108145236967,-0.09559855759143832,-1.2278096732867856,Single-model final runs,45-60m,56,0-15m,124,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag1-n10-run01,bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag1-n10-run01
mag1,0.13724797844886782,-0.09431189596652984,-1.235098715318065,Single-model final runs,Q4,65,Q1,124,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag1-n10-run01,bfa4cd3f4504f42d76f95b422da94d5454e0f2a7,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag1-n10-run01
dom-tech,-0.01577936649322509,0.01091773092746734,0.2521046739877688,Single-model final runs,45-60m,228,0-15m,377,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-dom-tech-n30-run01,c08e706949d81c0b83e96d9fe873f8bffc9be73c,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-tech-n30-run01
dom-tech,-0.01345921397209171,0.009311959743499743,0.21950034531998064,Single-model final runs,Q4,234,Q1,375,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-dom-tech-n30-run01,c08e706949d81c0b83e96d9fe873f8bffc9be73c,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-dom-tech-n30-run01
mag5,0.03385121226310728,-0.02334088563919068,-0.4813523956229959,Single-model final runs,45-60m,367,0-15m,402,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag5-n30-run01,cf837cf7deed86e257b81e16c4e576b697457233,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag5-n30-run01
mag5,0.0329909205436707,-0.022759094238281263,-0.4616620529687179,Single-model final runs,Q4,379,Q1,400,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag5-n30-run01,cf837cf7deed86e257b81e16c4e576b697457233,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag5-n30-run01
mag0,0.08417460560798645,-0.05974182248115539,-1.5959599897109014,Single-model final runs,45-60m,269,0-15m,334,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag0-n30-run01,d3df6a84dd4d3b70708eb96a0f10bba44185c1d2,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag0-n30-run01
mag0,0.08440988361835478,-0.05991044163703918,-1.5546173798294385,Single-model final runs,Q4,282,Q1,347,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag0-n30-run01,d3df6a84dd4d3b70708eb96a0f10bba44185c1d2,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag0-n30-run01
dom-tech,0.029222396612167356,-0.02132354140281678,-0.6019201480550054,Single-model final runs,45-60m,218,0-15m,246,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-dom-tech-n20-run01,e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-tech-n20-run01
dom-tech,0.03098798274993897,-0.022610489130020117,-0.6417804573919605,Single-model final runs,Q4,232,Q1,239,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-dom-tech-n20-run01,e154bb93b5a393e6fb0f4d5a452cade8604e8b8f,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-tech-n20-run01
mag1,0.037838906049728394,-0.026626598238945032,-0.8305027375254825,Single-model final runs,45-60m,387,0-15m,393,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag1-n30-run01,e4c789ed0207d395efe5162fa0de6cfeee2ea0cb,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag1-n30-run01
mag1,0.037651375532150255,-0.026490829586982734,-0.8260920654029436,Single-model final runs,Q4,389,Q1,391,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag1-n30-run01,e4c789ed0207d395efe5162fa0de6cfeee2ea0cb,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag1-n30-run01
dom-tech,0.33254660725593566,-0.21022717624902726,-3.056722706355605,Single-model final runs,45-60m,90,0-15m,229,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-dom-tech-n20-run01,e78d2299fffa61f97d1cf7301600790b69c6684b,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-tech-n20-run01
dom-tech,0.33048357129096984,-0.209076866209507,-3.0382090954272734,Single-model final runs,Q4,90,Q1,229,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-dom-tech-n20-run01,e78d2299fffa61f97d1cf7301600790b69c6684b,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-dom-tech-n20-run01
mag1,0.02107867538928987,-0.015224249362945586,-0.22179597421940667,Single-model final runs,45-60m,65,0-15m,102,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag1-n10-run01,ed89d518f117e12c753d18ad471c73ef335e5f8a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag1-n10-run01
mag1,0.01657256245613098,-0.011956133842468242,-0.16094570466685365,Single-model final runs,Q4,72,Q1,98,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag1-n10-run01,ed89d518f117e12c753d18ad471c73ef335e5f8a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag1-n10-run01
mag25,0.010659825205802886,-0.007650934457778924,-0.22884067258780494,Single-model final runs,45-60m,69,0-15m,90,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag25-n10-run01,f6a9af6b0a8c242dfd9a45a69e65095585df6073,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag25-n10-run01
mag25,0.0035506552457809093,-0.0025364512205124368,-0.1563385026633144,Single-model final runs,Q4,78,Q1,87,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag25-n10-run01,f6a9af6b0a8c242dfd9a45a69e65095585df6073,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag25-n10-run01
mag25,0.006935892105102592,-0.004680846929550175,-0.333871492612257,Single-model final runs,45-60m,319,0-15m,422,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag25-n30-run01,f8b4c00ced286f4e74dddf7057f58924bd6eeabe,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag25-n30-run01
mag25,0.0067198598384856645,-0.004536405801773058,-0.33063264833362993,Single-model final runs,Q4,320,Q1,422,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag25-n30-run01,f8b4c00ced286f4e74dddf7057f58924bd6eeabe,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag25-n30-run01
dom-tech,0.009234095215797433,-0.0063304603099823,-0.04774250800986124,Single-model final runs,45-60m,64,0-15m,81,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-dom-tech-n10-run01,fa1544d4921dee1eee06b14a95889337c8727c45,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-tech-n10-run01
dom-tech,0.002082241773605331,-0.0014260631799697943,0.012156251762259096,Single-model final runs,Q4,76,Q1,78,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-dom-tech-n10-run01,fa1544d4921dee1eee06b14a95889337c8727c45,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-dom-tech-n10-run01
mag1,0.019923665523529088,-0.01347382485866544,-0.17149151828124598,Single-model final runs,45-60m,246,0-15m,258,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag1-n20-run01,fac59a18eccee1e49da0a16a7590f09691a89e35,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag1-n20-run01
mag1,0.019208273887634242,-0.012981445193290697,-0.15233518877696284,Single-model final runs,Q4,258,Q1,256,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag1-n20-run01,fac59a18eccee1e49da0a16a7590f09691a89e35,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag1-n20-run01
