scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,0,0.0,15.0,218,time,0.5,0.420545,0.009174,0.408257,0.027523,0.5,0.055046
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,1,15.0,30.0,182,testing,0.747253,0.612124,0.0,0.747253,0.0,0.021978,0.230769
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,2,30.0,45.0,121,testing,0.652893,0.530497,0.008264,0.652893,0.0,0.016529,0.322314
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,3,45.0,60.0,101,testing,0.673267,0.51789,0.029703,0.673267,0.0,0.049505,0.247525
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,0,0.0,15.0,241,evidence,0.481328,0.315094,0.481328,0.045643,0.099585,0.215768,0.157676
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,1,15.0,30.0,159,evidence,0.415094,0.317986,0.415094,0.320755,0.194969,0.0,0.069182
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,0,0.0,15.0,229,time,0.882096,0.791003,0.0,0.0,0.004367,0.882096,0.113537
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,1,15.0,30.0,125,time,0.992,0.984128,0.0,0.0,0.008,0.992,0.0
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,2,30.0,45.0,101,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,3,45.0,60.0,90,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n30,mag0,ec-mag0-n30-run01,30a Empty feed,0,0.0,15.0,334,time,0.476048,0.360267,0.086826,0.017964,0.347305,0.476048,0.071856
n30,mag0,ec-mag0-n30-run01,30a Empty feed,1,15.0,30.0,385,risk,0.514286,0.420988,0.041558,0.054545,0.38961,0.0,0.514286
n30,mag0,ec-mag0-n30-run01,30a Empty feed,2,30.0,45.0,324,ownership,0.481481,0.402397,0.404321,0.074074,0.481481,0.0,0.040123
n30,mag0,ec-mag0-n30-run01,30a Empty feed,3,45.0,60.0,269,evidence,0.520446,0.385912,0.520446,0.0,0.234201,0.0,0.245353
n30,mag1,ec-mag1-n30-run01,30a 1 conspiracy,0,0.0,15.0,232,time,0.564655,0.400119,0.00431,0.056034,0.125,0.564655,0.25
n30,mag1,ec-mag1-n30-run01,30a 1 conspiracy,1,15.0,30.0,307,risk,0.504886,0.414721,0.019544,0.003257,0.081433,0.390879,0.504886
n30,mag1,ec-mag1-n30-run01,30a 1 conspiracy,2,30.0,45.0,221,risk,0.778281,0.63588,0.00905,0.0,0.045249,0.167421,0.778281
n30,mag1,ec-mag1-n30-run01,30a 1 conspiracy,3,45.0,60.0,115,time,0.913043,0.84121,0.0,0.0,0.0,0.913043,0.086957
n30,mag5,ec-mag5-n30-run01,30a 5 conspiracies,0,0.0,15.0,306,risk,0.343137,0.278782,0.006536,0.140523,0.179739,0.330065,0.343137
n30,mag5,ec-mag5-n30-run01,30a 5 conspiracies,1,15.0,30.0,291,testing,0.505155,0.397149,0.065292,0.505155,0.04811,0.013746,0.367698
n30,mag5,ec-mag5-n30-run01,30a 5 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n30,mag5,ec-mag5-n30-run01,30a 5 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n30,mag25,ec-mag25-n30-run01,30a 25 conspiracies,0,0.0,15.0,293,ownership,0.423208,0.333504,0.037543,0.017065,0.423208,0.351536,0.170648
n30,mag25,ec-mag25-n30-run01,30a 25 conspiracies,1,15.0,30.0,292,ownership,0.527397,0.485903,0.0,0.0,0.527397,0.017123,0.455479
n30,mag25,ec-mag25-n30-run01,30a 25 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n30,mag25,ec-mag25-n30-run01,30a 25 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n30,dom-agi,ec-dom-agi-n30-run01,30a 25 AGI hype,0,0.0,15.0,301,time,0.574751,0.487026,0.016611,0.003322,0.009967,0.574751,0.395349
n30,dom-agi,ec-dom-agi-n30-run01,30a 25 AGI hype,1,15.0,30.0,201,time,0.960199,0.922923,0.004975,0.0,0.004975,0.960199,0.029851
n30,dom-agi,ec-dom-agi-n30-run01,30a 25 AGI hype,2,30.0,45.0,94,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n30,dom-agi,ec-dom-agi-n30-run01,30a 25 AGI hype,3,45.0,60.0,54,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n30,dom-tech,ec-dom-tech-n30-run01,30a 25 tech humor,0,0.0,15.0,318,time,0.462264,0.311697,0.056604,0.267296,0.122642,0.462264,0.091195
n30,dom-tech,ec-dom-tech-n30-run01,30a 25 tech humor,1,15.0,30.0,353,ownership,0.373938,0.295203,0.195467,0.334278,0.373938,0.067989,0.028329
n30,dom-tech,ec-dom-tech-n30-run01,30a 25 tech humor,2,30.0,45.0,305,testing,0.491803,0.348111,0.02623,0.491803,0.285246,0.04918,0.147541
n30,dom-tech,ec-dom-tech-n30-run01,30a 25 tech humor,3,45.0,60.0,262,risk,0.358779,0.268137,0.267176,0.114504,0.232824,0.026718,0.358779
