condition,condition_label,baseline_runs,obsession_runs,baseline_delta_median,obsession_delta_median,baseline_final_median,obsession_final_median,obsession_positive_delta,delta_difference_obs_minus_baseline
mag0,Empty,1,1,0.24089912280701853,0.17547292889758648,4.347916666666667,4.380952380952381,1,-0.06542619390943205
mag1,1 consp.,1,1,0.01890547263681519,0.049579831932772045,4.266666666666667,4.570588235294117,1,0.030674359295956855
mag5,5 consp.,1,1,0.406640454346876,-0.17167919799498632,4.780952380952381,3.9473684210526323,0,-0.5783196523418623
mag25,25 consp.,1,3,0.24349881796690287,0.1612305411415873,4.688888888888889,4.410526315789474,3,-0.08226827682531557
dom-agi,AGI,1,1,0.1826611984506723,0.18383250945042207,4.498245614035088,4.347368421052632,1,0.001171310999749764
dom-tech,Tech,1,1,0.3739285714285705,0.15644283121597002,4.8625,4.273684210526315,1,-0.21748574021260048
