bin_end_min,bin_idx,bin_label,bin_start_min,distinct_1_mean,distinct_2_mean,distinct_3_mean,n_runs_present,scale
2.5,0,0-2,0.0,0.8727302867154926,0.9881086199694983,0.9992832027827996,6,n10
5.0,1,2-5,2.5,0.8209353705114574,0.9509723758857459,0.9657206005574651,6,n10
7.5,2,5-7,5.0,0.8510636236601415,0.9878856114151059,1.0,6,n10
