condition,delta_compression_bzip2,delta_compression_gzip,delta_compression_zlib,delta_distinct_1,delta_distinct_1_sub_ci_high,delta_distinct_1_sub_ci_low,delta_distinct_1_sub_mean,delta_distinct_2,delta_distinct_2_sub_ci_high,delta_distinct_2_sub_ci_low,delta_distinct_2_sub_mean,delta_distinct_3,delta_distinct_3_sub_ci_high,delta_distinct_3_sub_ci_low,delta_distinct_3_sub_mean,delta_distinct_4,delta_distinct_4_sub_ci_high,delta_distinct_4_sub_ci_low,delta_distinct_4_sub_mean,delta_distinct_5,delta_distinct_5_cumulative,delta_distinct_5_sub_ci_high,delta_distinct_5_sub_ci_low,delta_distinct_5_sub_mean,delta_n_agents,delta_n_posts,delta_simpson_5gram_effective,delta_subsample_target_posts,display_family_label,final_bin,final_n_posts,first_bin,first_n_posts,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
dom-agi,-0.011013077455018366,-0.053386762978343605,-0.055105211491567274,0.07296793221069459,-0.08367063309407144,-0.056027093131516575,-0.06942246519646128,-0.03170365096317396,-0.2450763409250848,-0.20872374025989882,-0.22760835736475005,-0.15854059350126448,-0.2698307002328779,-0.24607192877679085,-0.25967850791654956,-0.18397974251686733,-0.2343088122793786,-0.2191189853086185,-0.22717435416014864,-0.17633446038528278,-0.08857046824861681,-0.20146581950938125,-0.19067662978509492,-0.19661466036146924,-25,-247,-21248.63820409604,0,Single-model final runs,45-60m,54,0-15m,301,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-dom-agi-n30-run01,1fe60ca12bde7999c8575bb980380ece20ae5bb7,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
dom-agi,-0.01059986104525179,-0.05365340684416714,-0.05542282492792033,0.07898429433455756,-0.07406376735429693,-0.05026958999665482,-0.06347373135574383,-0.03231711831072126,-0.24969491028735868,-0.21213967961174696,-0.2305584030918188,-0.16651484752946488,-0.2816917613427814,-0.2546216660802143,-0.26860345071789093,-0.19351550113993155,-0.24422832429384445,-0.2279870298794986,-0.23723279640484485,-0.1885576497747985,-0.08994061028046652,-0.2145753486842712,-0.20301795601585804,-0.20927576745515686,-25,-254,-21816.67930140757,0,Single-model final runs,Q4,55,Q1,309,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-dom-agi-n30-run01,1fe60ca12bde7999c8575bb980380ece20ae5bb7,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-dom-agi-n30-run01
mag25,-0.04242568082608142,-0.04615264469034963,-0.04571063114459023,-0.029564110773601812,-0.01608107373682402,-0.018307877687674806,-0.016995813848808244,-0.12662666924040789,-0.09262073841543633,-0.09964830157881899,-0.0961270985935117,-0.12952805463410866,-0.09608918852942361,-0.10669028121511781,-0.10180977858270168,-0.08967060687250228,-0.0636825162832595,-0.07544616730056541,-0.07026567419153751,-0.05648910289982223,-0.027388659875019816,-0.03948708546952562,-0.04756566955498387,-0.04313343825977933,-1,80,-1761.82708531545,0,Single-model final runs,45-60m,374,0-15m,294,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag25-n30-run01,22cd2e17435a6586911c5f4461a0251b32de1073,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag25-n30-run01
mag25,-0.04727477827730378,-0.054022103340040595,-0.05354162657407635,-0.030789102067119725,-0.01989237516407856,-0.021845075399174255,-0.02083882241509763,-0.14302464690174416,-0.1136443865740594,-0.12198368682623212,-0.11753338360344195,-0.1536934720315699,-0.12273476929863847,-0.13515340062674464,-0.1290659220832484,-0.11232096421945903,-0.08873297681065051,-0.09963599380929677,-0.09416245147982938,-0.0756438631383698,-0.03376085013479402,-0.05678163468865127,-0.06857111649079295,-0.0627472656837148,-1,69,-4308.422011914099,0,Single-model final runs,Q4,384,Q1,315,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag25-n30-run01,22cd2e17435a6586911c5f4461a0251b32de1073,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag25-n30-run01
mag5,-0.019737451387388194,-0.022634358600283677,-0.02294229099420675,-0.010258884910974181,0.0025208899897377623,-0.0003711887488998672,0.0012796098946110668,-0.03592258669342191,-0.003336251095864995,-0.013435992881691505,-0.008909932614689864,-0.03765625424940122,-0.013834787371473922,-0.022962008320928984,-0.01873637687700247,-0.0335031857542788,-0.01801409725868086,-0.02619972761621825,-0.022761878881780495,-0.020381083192435923,-0.019635596436156644,-0.011241019310914369,-0.017303598337301107,-0.014748242319364557,0,69,615.0022298917211,0,Single-model final runs,45-60m,375,0-15m,306,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag5-n30-run01,283d2b449ecf220fd6c980136dccc3ad39cd3707,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag5-n30-run01
mag5,-0.019265712102465887,-0.02388743001912036,-0.024244649295476872,-0.007871166978836552,-0.001602388776737379,-0.0033667512060074206,-0.0024213839994674663,-0.03871760331525148,-0.02349900529796367,-0.02839758627194333,-0.02595588148087541,-0.04463676744053857,-0.03081669571171819,-0.03795354684211494,-0.03459890563404744,-0.039841760469378484,-0.03024876063795423,-0.037525364235417635,-0.03415783357958713,-0.024949967086546287,-0.018742775054941485,-0.019128547665537177,-0.024034693382273153,-0.021482869427866924,-1,33,-2308.3542512038366,0,Single-model final runs,Q4,355,Q1,322,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,30,Gemini Flash Lite,ec-mag5-n30-run01,283d2b449ecf220fd6c980136dccc3ad39cd3707,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag5-n30-run01
dom-agi,-0.03315182104495523,-0.05891174462649973,-0.058520451301285026,-0.01192183856765519,-0.022027281069288807,-0.017171320145040053,-0.01986446726372343,-0.12481593624658749,-0.1424463000040319,-0.13058414385276673,-0.13675161456899088,-0.14522762219082463,-0.15816270311652947,-0.1468734168163941,-0.15190767856271492,-0.1312573082030699,-0.14229083522292962,-0.13169646408933444,-0.13538196634464394,-0.11561462718006621,-0.09024750963184858,-0.12601314190996693,-0.11483573021596083,-0.11808638700918572,-1,-26,-11884.34727367539,0,Single-model final runs,45-60m,251,0-15m,277,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-dom-agi-n20-run01,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-agi-n20-run01
dom-agi,-0.03444158118160695,-0.059285870568070886,-0.05881910264154533,-0.015144679517959392,-0.021257372244258,-0.017070980249999396,-0.019053060313984405,-0.12929592982735183,-0.140417490665652,-0.1311727121033328,-0.1351809218192911,-0.1469930226639713,-0.15566144991793884,-0.1474649633443308,-0.15027988589872843,-0.13133602414902346,-0.13884313682933858,-0.13051400812484393,-0.13309656019004523,-0.11478077312734425,-0.09110934606973242,-0.12073638264487774,-0.11382314117916381,-0.11570904431636875,-1,-13,-11557.212230136769,0,Single-model final runs,Q4,261,Q1,274,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-dom-agi-n20-run01,2e3181acc1de0142801f6e9d663a1d0a3eb1185b,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-dom-agi-n20-run01
mag25,-0.02585730075072562,-0.05537217092607949,-0.055059635654389205,0.032168484723855084,-0.04817362043958162,-0.03377234144070779,-0.03972396777274323,-0.057932853027927944,-0.16542519156961688,-0.14035626158046088,-0.1537460132561833,-0.1331517228815675,-0.19310536870172024,-0.1681730447640506,-0.18227056595034485,-0.13958716179164155,-0.16752835041720593,-0.14696832380334013,-0.15976996307668956,-0.1283728379944461,-0.06636421847245189,-0.14435004151098285,-0.12713891743613204,-0.13806167852662443,-12,-117,-8363.287467961163,0,Single-model final runs,45-60m,101,0-15m,218,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag25-n20-run01,330e1a41290a2555b44f8f58cd57372b1ba6defc,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag25-n20-run01
mag25,-0.03991892529794652,-0.07628908665179934,-0.07662067037848874,0.029362773362605704,-0.050687539231135476,-0.03839817098810791,-0.04558129014511317,-0.07294857156082912,-0.19002447373366982,-0.16045879932084928,-0.17780137616600622,-0.16192084463213074,-0.23052290061102154,-0.20337075331882348,-0.21823752986869382,-0.16789887739358267,-0.20121762838160195,-0.1827135100251659,-0.19277508714875302,-0.15520635777038871,-0.08082978755353754,-0.17665227284798035,-0.15496930515129692,-0.16920302883338179,-12,-165,-11633.929405077783,0,Single-model final runs,Q4,124,Q1,289,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag25-n20-run01,330e1a41290a2555b44f8f58cd57372b1ba6defc,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag25-n20-run01
