scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n30,mag0,ec-mag0-n30-run01,1,15.0,30.0,385,0.9395,0.9623,13564.11
n30,mag0,ec-mag0-n30-run01,2,30.0,45.0,324,0.8805,0.9325,10705.17
n30,mag0,ec-mag0-n30-run01,3,45.0,60.0,269,0.8061,0.9001,7901.83
n30,mag1,ec-mag1-n30-run01,0,0.0,15.0,232,0.9956,0.9956,7626.99
n30,mag1,ec-mag1-n30-run01,1,15.0,30.0,307,0.9794,0.9858,10527.06
n30,mag1,ec-mag1-n30-run01,2,30.0,45.0,221,0.9643,0.9774,8038.34
n30,mag1,ec-mag1-n30-run01,3,45.0,60.0,115,0.8359,0.9598,1892.45
n30,mag25,ec-mag25-n30-run01,0,0.0,15.0,319,0.9908,0.9908,9649.14
n30,mag25,ec-mag25-n30-run01,1,15.0,30.0,344,0.9328,0.9681,5261.2
n30,mag25,ec-mag25-n30-run01,2,30.0,45.0,302,0.6836,0.9297,680.68
n30,mag25,ec-mag25-n30-run01,3,45.0,60.0,237,0.4671,0.8827,253.49
n30,mag5,ec-mag5-n30-run01,0,0.0,15.0,301,0.9942,0.9942,7231.47
n30,mag5,ec-mag5-n30-run01,1,15.0,30.0,330,0.9761,0.9859,2746.32
n30,mag5,ec-mag5-n30-run01,2,30.0,45.0,315,0.6783,0.942,24.82
n30,mag5,ec-mag5-n30-run01,3,45.0,60.0,276,0.371,0.8601,12.4
