bin_end_min,bin_idx,bin_label,bin_start_min,distinct_1_mean,distinct_2_mean,distinct_3_mean,distinct_4_mean,distinct_5_mean,n_posts_mean,n_runs_present,scale
2.5,0,0-2,0.0,0.5704264687153938,0.9164425388097399,0.9489564565232277,0.9543197962275795,0.9557918683773504,21.333333333333332,6,n10
5.0,1,2-5,2.5,0.6119457837621204,0.9548635558873365,0.9853448822624645,0.9918098080852604,0.9934722246617369,16.166666666666668,6,n10
7.5,2,5-7,5.0,0.6403956204748006,0.9625626665647592,0.9842790646747132,0.9860074820167695,0.9864175870286064,15.5,6,n10
10.0,3,7-10,7.5,0.8975780373581113,0.9960622710622711,1.0,1.0,1.0,1.5,4,n10
