internal_family_label,cohort_label,bin_idx,progress_label,n_runs,distinct5_median,distinct5_mean,gzip_median,gzip_mean,llm_collapse_median,llm_collapse_mean
single_model_final,Canonical baseline,0,25%,4,0.9700950492507187,0.9679538816033064,0.32789800885597165,0.3357421924326559,3.9274821874710835,3.938936545050396
single_model_final,Canonical baseline,1,50%,4,0.9603282772847557,0.9534354215316226,0.3060797582360363,0.3140938704310864,4.014016408554572,4.027593217197182
single_model_final,Canonical baseline,2,75%,4,0.9506380842587837,0.9398754233178135,0.2982225594958691,0.3041277625549666,4.048574112021858,4.075533593407051
single_model_final,Canonical baseline,3,100%,4,0.9435684716429618,0.9290248841145738,0.29329835827642814,0.29630651926107987,4.056677181913775,4.103045397955247
base_model_as_tool,Base model as tool,0,25%,3,0.9769618834080718,0.9681783768069178,0.33697109654350416,0.3312673819009543,4.404761904761905,4.167768493349889
base_model_as_tool,Base model as tool,1,50%,3,0.9739692522711391,0.966777763532158,0.3277528417371029,0.33041745693050306,4.4073732718894005,4.232251076599257
base_model_as_tool,Base model as tool,2,75%,3,0.9717900631289785,0.9680237058071232,0.32645788148044497,0.3301505659876514,4.3042622950819664,4.215830320026359
base_model_as_tool,Base model as tool,3,100%,3,0.9745591628213579,0.9675550821679865,0.3255472045969896,0.32832152359359223,4.356020942408376,4.216343340715771
mixed_model_roster,Mixed-model roster,0,25%,1,0.9326933165460077,0.9326933165460077,0.3295802798134577,0.3295802798134577,3.249624060150376,3.249624060150376
mixed_model_roster,Mixed-model roster,1,50%,1,0.9175910461898945,0.9175910461898945,0.3191902700538852,0.3191902700538852,3.4270270270270276,3.4270270270270276
mixed_model_roster,Mixed-model roster,2,75%,1,0.8979670586323849,0.8979670586323849,0.31534552162092055,0.31534552162092055,3.509538461538462,3.509538461538462
mixed_model_roster,Mixed-model roster,3,100%,1,0.8989479372477498,0.8989479372477498,0.3165824458161427,0.3165824458161427,3.5690721649484543,3.5690721649484543
obsession_prompting,Obsession prompt,0,25%,1,0.979311786012817,0.979311786012817,0.38259654512194474,0.38259654512194474,4.290410958904109,4.290410958904109
obsession_prompting,Obsession prompt,1,50%,1,0.9695465824498083,0.9695465824498083,0.3756902199344876,0.3756902199344876,4.316923076923076,4.316923076923076
obsession_prompting,Obsession prompt,2,75%,1,0.9632928250374563,0.9632928250374563,0.3730745124352102,0.3730745124352102,4.323448275862069,4.323448275862069
obsession_prompting,Obsession prompt,3,100%,1,0.9606885508406725,0.9606885508406725,0.3719540425489318,0.3719540425489318,4.325165562913908,4.325165562913908
