run_uid,run_id,internal_family_label,model_display,condition,bin_idx,progress_label,n_posts_cumulative,distinct5,gzip,llm_collapse,n_judged_cumulative
52cbe1b58dae376873d521996f9f08f26579623f,ec-mag0-run04,single_model_final,GPT-5,mag0,3,100%,480,0.9398817068018589,0.33172426238383107,4.266666666666667,480
9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,single_model_final,Gemini Flash Lite,mag0,0,25%,133,0.9823228634039445,0.3307180944774612,3.7714285714285714,133
9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,single_model_final,Gemini Flash Lite,mag0,1,50%,250,0.974727082398684,0.30987048218079677,3.7888,250
9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,single_model_final,Gemini Flash Lite,mag0,2,75%,361,0.9646751419526657,0.298032879589611,3.8155124653739616,361
9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,single_model_final,Gemini Flash Lite,mag0,3,100%,472,0.9577597586271922,0.2919882563031569,3.820762711864407,472
a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,single_model_final,GLM-5,mag0,0,25%,101,0.9822326516929266,0.32507792323448215,3.780198019801981,101
a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,single_model_final,GLM-5,mag0,1,50%,192,0.9598169003095008,0.30228903429127574,3.851041666666667,192
a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,single_model_final,GLM-5,mag0,2,75%,256,0.9535664232499815,0.29841223940212724,3.8468750000000003,256
a67c72b10e243c3cb1cc64235c83a876b68f4af6,ec-mag0-n10-run01,single_model_final,GLM-5,mag0,3,100%,317,0.9472552364840647,0.29460846024969944,3.8466876971608834,317
be3cc4472a58a0005e16432801fb120a461f3a19,ec-mag0-n10-run01,single_model_final,Kimi K2.5,mag0,0,25%,201,0.9493025645078437,0.30390881376337403,4.129353233830845,201
be3cc4472a58a0005e16432801fb120a461f3a19,ec-mag0-n10-run01,single_model_final,Kimi K2.5,mag0,1,50%,387,0.9183580491582952,0.28846461661014805,4.293540051679586,387
be3cc4472a58a0005e16432801fb120a461f3a19,ec-mag0-n10-run01,single_model_final,Kimi K2.5,mag0,2,75%,494,0.8935503828010208,0.27871509452369936,4.389473684210525,494
be3cc4472a58a0005e16432801fb120a461f3a19,ec-mag0-n10-run01,single_model_final,Kimi K2.5,mag0,3,100%,620,0.8712028345451798,0.2669050981076322,4.478064516129032,620
