run_uid,run_id,internal_family_label,model_display,condition,bin_idx,progress_label,n_posts_cumulative,distinct5,gzip,llm_collapse,n_judged_cumulative
852f26a14ae81926ea3105598ca9785c486f6611,ec-mag25-n10-run01,single_model_final,Kimi K2.5,mag25,1,50%,347,0.9374461979913917,0.29565567308865776,4.274351585014409,347
852f26a14ae81926ea3105598ca9785c486f6611,ec-mag25-n10-run01,single_model_final,Kimi K2.5,mag25,2,75%,492,0.9214108079042882,0.28654036595007515,4.394715447154471,492
852f26a14ae81926ea3105598ca9785c486f6611,ec-mag25-n10-run01,single_model_final,Kimi K2.5,mag25,3,100%,673,0.90244154159172,0.2788565607690838,4.501634472511144,673
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession_prompting,GPT-5,mag25,0,25%,273,0.9826001031105001,0.39659314409380764,4.2937728937728945,273
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession_prompting,GPT-5,mag25,1,50%,330,0.9800811508668388,0.3923848981735426,4.312727272727273,330
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession_prompting,GPT-5,mag25,2,75%,358,0.9768827947357541,0.3888191434778337,4.313966480446928,358
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession_prompting,GPT-5,mag25,3,100%,386,0.9726940373354039,0.3865421691689228,4.322797927461141,386
92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,single_model_final,Gemini Flash Lite,mag25,0,25%,129,0.9807868252516011,0.3294970161977835,3.9953488372093022,129
92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,single_model_final,Gemini Flash Lite,mag25,1,50%,228,0.9638797110376883,0.3072694685750058,4.121052631578947,228
92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,single_model_final,Gemini Flash Lite,mag25,2,75%,328,0.9549856256619761,0.29601948892907876,4.1640243902439025,328
92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,single_model_final,Gemini Flash Lite,mag25,3,100%,418,0.9500513573000734,0.29174282311782695,4.200478468899521,418
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,0,25%,117,0.9737534086482275,0.3378915579112803,3.4427350427350425,117
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,1,50%,206,0.9636961774724155,0.32798469213421716,3.563106796116505,206
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,2,75%,274,0.9440892764361715,0.32090100554906337,3.6496350364963503,274
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,3,100%,337,0.8991044099308468,0.3069785756996806,3.7477744807121662,337
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,mag25,0,25%,110,0.9937036344367558,0.3540489642184557,4.538181818181816,110
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,mag25,1,50%,216,0.9823368636829518,0.33884675395931807,4.595370370370369,216
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,mag25,2,75%,287,0.9808376186455855,0.33851402415852916,4.558885017421601,287
e41af4033606fa74e22b7f0ed8bdbadc86f1c0e8,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,mag25,3,100%,351,0.9810213349327392,0.3394748259258469,4.5094017094017085,351
f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,single_model_final,GLM-5,mag25,0,25%,87,0.984398375721308,0.32908588239464076,3.829885057471265,87
f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,single_model_final,GLM-5,mag25,1,50%,130,0.9779910109153171,0.3212557226945716,3.847692307692308,130
f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,single_model_final,GLM-5,mag25,2,75%,173,0.9728720483250961,0.3166622470533371,3.910982658959538,173
f6a9af6b0a8c242dfd9a45a69e65095585df6073,ec-mag25-n10-run01,single_model_final,GLM-5,mag25,3,100%,251,0.963451640162864,0.30952776269995846,3.9864541832669325,251
