model_display,n_agents,n_runs,mean_adopters,median_adopters,mean_adoption_rate,median_adoption_rate,mean_phrase_posts,median_phrase_posts,mean_mentions,median_mentions,mean_top_agent_share,median_top_agent_share
GPT-5,10,6,7.0,7.0,0.6999999999999998,0.7,79.83333333333333,61.0,80.33333333333333,61.0,0.29291777742322206,0.26314102564102565
GPT-5,20,6,13.666666666666666,13.5,0.6833333333333332,0.675,164.5,127.5,164.66666666666666,127.5,0.1977569453222169,0.1756198347107438
GPT-5,30,6,22.0,22.0,0.7333333333333334,0.7333333333333334,222.0,216.0,223.83333333333334,216.0,0.15255734745007307,0.10282105034879097
Gemini Flash Lite,10,6,6.666666666666667,6.0,0.6666666666666666,0.6,18.833333333333332,9.5,18.833333333333332,9.5,0.27163660005340823,0.2792207792207792
Gemini Flash Lite,20,6,12.333333333333334,13.0,0.6166666666666667,0.6499999999999999,25.0,16.5,25.0,16.5,0.17178018377203372,0.15707236842105263
Gemini Flash Lite,30,6,17.833333333333332,16.5,0.5944444444444444,0.55,46.0,35.5,46.833333333333336,35.5,0.16554269143554856,0.17538265306122447
