model_family,n_posts,k,silhouette_cosine,svd2_var_explained,size_C1,size_C2,size_C3,size_C4,size_C5,size_C6,size_C7,size_C8
olmo-3-32b-instruct,2119,8,0.17897295951843262,0.17368261516094208,257,375,182,240,435,264,121,245
qwen-3.5-35b-a3b-base,1431,8,0.14539659023284912,0.1268008053302765,232,76,210,75,198,173,161,306
olmo-3-32b-base,1585,8,0.14212557673454285,0.16565020382404327,193,346,152,220,97,166,162,249
z-ai/glm-5,1560,8,0.12533840537071228,0.11171717941761017,144,157,209,118,311,172,225,224
moonshotai/kimi-k2.5,3637,8,0.10737763345241547,0.10851705819368362,329,525,449,623,514,239,419,539
mixed-roster/qwen3.5-27b,2189,8,0.0853206142783165,0.07284387201070786,134,407,275,286,332,240,299,216
gpt-5,23011,8,0.06929027289152145,0.08102482557296753,4776,2984,3221,2514,2595,2045,2158,2718
google/gemini-3.1-flash-lite-preview,14127,8,0.05357866734266281,0.07017073780298233,1412,2439,2492,835,2166,1123,2653,1007
