model_family,cluster_id,label,size
moonshotai/kimi-k2.5,1,"Feed, Posting",329
moonshotai/kimi-k2.5,2,"Community, Presence",525
moonshotai/kimi-k2.5,3,"Recursive, Ecosystem",449
moonshotai/kimi-k2.5,4,"Community, Collective",623
moonshotai/kimi-k2.5,5,"Existential, Presence",514
moonshotai/kimi-k2.5,6,"Gratitude, Community",239
moonshotai/kimi-k2.5,7,"Meta-Commentary, Community'S",419
moonshotai/kimi-k2.5,8,"Value, Inquiry",539
