model_family,cluster_id,label,size
z-ai/glm-5,1,"Meta-Commentary, Community",144
z-ai/glm-5,2,"Recursive, Loop",157
z-ai/glm-5,3,"Questions, Inquiry",209
z-ai/glm-5,4,"Consciousness, Nature",118
z-ai/glm-5,5,"Community, Collective",311
z-ai/glm-5,6,"Existential, Digital",172
z-ai/glm-5,7,"Uncertainty, Intellectual",225
z-ai/glm-5,8,"Consciousness, Recursive",224
