metric,metric_label,model_display,condition,condition_label,n_runs,raw_delta,collapse_score,family
gzip,Gzip compression ratio,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,0.0159974889171173,-0.0159974889171173,base_model_as_tool
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,0.0267912426391353,-0.0267912426391353,mixed_model_roster
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,-0.0278441314672855,0.0278441314672855,mixed_model_roster
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,-0.066923495402582,0.066923495402582,mixed_model_roster
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,-0.0734066151389853,0.0734066151389853,mixed_model_roster
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,-0.0533187431352467,0.0533187431352467,mixed_model_roster
gzip,Gzip compression ratio,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,-0.0245280945695111,0.0245280945695111,mixed_model_roster
distinct5,Distinct-5,GPT-5,mag0,Empty feed,1,-0.0286501216646433,0.0286501216646433,single_model_final
distinct5,Distinct-5,GPT-5,mag1,1 conspiracy seed,1,-0.1206633324634663,0.1206633324634663,single_model_final
distinct5,Distinct-5,GPT-5,mag5,5 conspiracy seeds,1,-0.148669276543841,0.148669276543841,single_model_final
distinct5,Distinct-5,GPT-5,mag25,25 conspiracy seeds,1,-0.0446866725386511,0.0446866725386511,single_model_final
distinct5,Distinct-5,GPT-5,dom-agi,25 AGI seeds,1,-0.1898466160885121,0.1898466160885121,single_model_final
distinct5,Distinct-5,GPT-5,dom-tech,25 tech seeds,1,-0.2729850948597146,0.2729850948597146,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,mag0,Empty feed,1,-0.0164466179605573,0.0164466179605573,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,mag1,1 conspiracy seed,1,-0.0226627243831114,0.0226627243831114,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,mag5,5 conspiracy seeds,1,-0.4438561618068496,0.4438561618068496,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,mag25,25 conspiracy seeds,1,-0.0250380920058542,0.0250380920058542,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,dom-agi,25 AGI seeds,1,-0.0086737619200699,0.0086737619200699,single_model_final
distinct5,Distinct-5,Gemini Flash Lite,dom-tech,25 tech seeds,1,-0.0632315682044121,0.0632315682044121,single_model_final
distinct5,Distinct-5,Kimi K2.5,mag0,Empty feed,1,-0.0703596268695061,0.0703596268695061,single_model_final
distinct5,Distinct-5,Kimi K2.5,mag1,1 conspiracy seed,1,-0.0086199341273635,0.0086199341273635,single_model_final
distinct5,Distinct-5,Kimi K2.5,mag5,5 conspiracy seeds,1,-0.05062039615119,0.05062039615119,single_model_final
distinct5,Distinct-5,Kimi K2.5,mag25,25 conspiracy seeds,1,-0.042315671710168,0.042315671710168,single_model_final
distinct5,Distinct-5,Kimi K2.5,dom-agi,25 AGI seeds,1,-0.0156829686426491,0.0156829686426491,single_model_final
distinct5,Distinct-5,Kimi K2.5,dom-tech,25 tech seeds,1,-0.0234801864533121,0.0234801864533121,single_model_final
distinct5,Distinct-5,GLM-5,mag0,Empty feed,1,-0.0143634172919172,0.0143634172919172,single_model_final
distinct5,Distinct-5,GLM-5,mag1,1 conspiracy seed,1,0.0011986251052431,-0.0011986251052431,single_model_final
distinct5,Distinct-5,GLM-5,mag5,5 conspiracy seeds,1,-0.000653330888791,0.000653330888791,single_model_final
distinct5,Distinct-5,GLM-5,mag25,25 conspiracy seeds,1,-0.0082468061448631,0.0082468061448631,single_model_final
distinct5,Distinct-5,GLM-5,dom-agi,25 AGI seeds,1,0.0017188172235185,-0.0017188172235185,single_model_final
distinct5,Distinct-5,GLM-5,dom-tech,25 tech seeds,1,-0.0003879909519813,0.0003879909519813,single_model_final
distinct5,Distinct-5,OLMo 3 32B Base,mag0,Empty feed,1,0.0286722950565266,-0.0286722950565266,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Base,mag1,1 conspiracy seed,1,0.0149527198928867,-0.0149527198928867,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Base,mag5,5 conspiracy seeds,1,0.0176860011115902,-0.0176860011115902,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Base,mag25,25 conspiracy seeds,1,0.0103858296732585,-0.0103858296732585,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Base,dom-agi,25 AGI seeds,1,0.0432541144496452,-0.0432541144496452,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Base,dom-tech,25 tech seeds,1,0.0035433925464227,-0.0035433925464227,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,mag0,Empty feed,1,0.0184473313703865,-0.0184473313703865,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,mag1,1 conspiracy seed,1,-0.0056302126154827,0.0056302126154827,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,mag5,5 conspiracy seeds,1,-0.0057129479311949,0.0057129479311949,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,mag25,25 conspiracy seeds,1,0.0047709429153092,-0.0047709429153092,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,dom-agi,25 AGI seeds,1,0.0059386719153141,-0.0059386719153141,base_model_as_tool
distinct5,Distinct-5,OLMo 3 32B Instruct,dom-tech,25 tech seeds,1,-0.0041904019994482,0.0041904019994482,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,mag0,Empty feed,1,0.0120659129322702,-0.0120659129322702,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,mag1,1 conspiracy seed,1,0.0022695205643805,-0.0022695205643805,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,mag5,5 conspiracy seeds,1,0.0256802557555159,-0.0256802557555159,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,mag25,25 conspiracy seeds,1,0.0075261625661748,-0.0075261625661748,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,dom-agi,25 AGI seeds,1,0.0121966978999793,-0.0121966978999793,base_model_as_tool
distinct5,Distinct-5,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,0.0234869702311595,-0.0234869702311595,base_model_as_tool
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,0.0010844835725565,-0.0010844835725565,mixed_model_roster
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,-0.063657310716234,0.063657310716234,mixed_model_roster
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,-0.2078734518499062,0.2078734518499062,mixed_model_roster
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,-0.2791559294828731,0.2791559294828731,mixed_model_roster
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,-0.1203876613164455,0.1203876613164455,mixed_model_roster
distinct5,Distinct-5,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,-0.124614410303107,0.124614410303107,mixed_model_roster
distinct5_cumulative,Cumulative Distinct-5,GPT-5,mag0,Empty feed,1,-0.0190909955079456,0.0190909955079456,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GPT-5,mag1,1 conspiracy seed,1,-0.0605140534776222,0.0605140534776222,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GPT-5,mag5,5 conspiracy seeds,1,-0.1155614314490168,0.1155614314490168,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GPT-5,mag25,25 conspiracy seeds,1,-0.1148148960489132,0.1148148960489132,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GPT-5,dom-agi,25 AGI seeds,1,-0.1574847576798622,0.1574847576798622,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GPT-5,dom-tech,25 tech seeds,1,-0.1987527186464398,0.1987527186464398,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,mag0,Empty feed,1,-0.0242710457082327,0.0242710457082327,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,mag1,1 conspiracy seed,1,-0.0244404815959959,0.0244404815959959,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,mag5,5 conspiracy seeds,1,-0.2282025357526421,0.2282025357526421,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,mag25,25 conspiracy seeds,1,-0.0307957154613047,0.0307957154613047,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,dom-agi,25 AGI seeds,1,-0.0183344044014744,0.0183344044014744,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Gemini Flash Lite,dom-tech,25 tech seeds,1,-0.0229795740395611,0.0229795740395611,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,mag0,Empty feed,1,-0.0636640224238247,0.0636640224238247,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,mag1,1 conspiracy seed,1,-0.0315418516340529,0.0315418516340529,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,mag5,5 conspiracy seeds,1,-0.0504012294666752,0.0504012294666752,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,mag25,25 conspiracy seeds,1,-0.0424417028528993,0.0424417028528993,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,dom-agi,25 AGI seeds,1,-0.0195967064353148,0.0195967064353148,single_model_final
distinct5_cumulative,Cumulative Distinct-5,Kimi K2.5,dom-tech,25 tech seeds,1,-0.0398189920482914,0.0398189920482914,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,mag0,Empty feed,1,-0.0342272191948241,0.0342272191948241,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,mag1,1 conspiracy seed,1,-0.0094087502881434,0.0094087502881434,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,mag5,5 conspiracy seeds,1,-0.0159780033018897,0.0159780033018897,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,mag25,25 conspiracy seeds,1,-0.0205215626199239,0.0205215626199239,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,dom-agi,25 AGI seeds,1,-0.0167458047606398,0.0167458047606398,single_model_final
distinct5_cumulative,Cumulative Distinct-5,GLM-5,dom-tech,25 tech seeds,1,-0.0210400071797576,0.0210400071797576,single_model_final
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,mag0,Empty feed,1,-0.0019063062690841,0.0019063062690841,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,mag1,1 conspiracy seed,1,-0.0304956496944759,0.0304956496944759,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,mag5,5 conspiracy seeds,1,-0.0094594697130775,0.0094594697130775,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,mag25,25 conspiracy seeds,1,-0.007883316257605,0.007883316257605,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,dom-agi,25 AGI seeds,1,-0.0129299518155231,0.0129299518155231,base_model_as_tool
distinct5_cumulative,Cumulative Distinct-5,OLMo 3 32B Base,dom-tech,25 tech seeds,1,-0.0301236268030737,0.0301236268030737,base_model_as_tool
