metric,metric_label,model_display,condition,condition_label,n_runs,raw_delta,collapse_score,family
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,mag1,1 conspiracy seed,1,0.2827188940092151,0.2827188940092151,single_model_final
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,mag5,5 conspiracy seeds,1,0.5780478320046667,0.5780478320046667,single_model_final
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,mag25,25 conspiracy seeds,1,0.3692906966210705,0.3692906966210705,single_model_final
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,dom-agi,25 AGI seeds,1,0.2277976494634628,0.2277976494634628,single_model_final
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,dom-tech,25 tech seeds,1,0.3372919990882153,0.3372919990882153,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,mag0,Empty feed,1,0.752280906526603,0.752280906526603,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,mag1,1 conspiracy seed,1,0.3300661109514231,0.3300661109514231,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,mag5,5 conspiracy seeds,1,0.2907416123176221,0.2907416123176221,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,mag25,25 conspiracy seeds,1,0.700913115661316,0.700913115661316,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,dom-agi,25 AGI seeds,1,1.0958052970651386,1.0958052970651386,single_model_final
llm_collapse,Blinded LLM collapse index,Kimi K2.5,dom-tech,25 tech seeds,1,0.5276437587657776,0.5276437587657776,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,mag0,Empty feed,1,0.0348501664816875,0.0348501664816875,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,mag1,1 conspiracy seed,1,0.0229260935143278,0.0229260935143278,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,mag5,5 conspiracy seeds,1,0.1676198486122797,0.1676198486122797,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,mag25,25 conspiracy seeds,1,0.3050241545893706,0.3050241545893706,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,dom-agi,25 AGI seeds,1,0.1290705339485831,0.1290705339485831,single_model_final
llm_collapse,Blinded LLM collapse index,GLM-5,dom-tech,25 tech seeds,1,0.2845679012345679,0.2845679012345679,single_model_final
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,mag0,Empty feed,1,0.1437229437229437,0.1437229437229437,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,mag1,1 conspiracy seed,1,0.3679723502304144,0.3679723502304144,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,mag5,5 conspiracy seeds,1,0.2292857142857141,0.2292857142857141,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,mag25,25 conspiracy seeds,1,0.2192307692307693,0.2192307692307693,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,dom-agi,25 AGI seeds,1,0.2378787878787882,0.2378787878787882,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Base,dom-tech,25 tech seeds,1,0.3476963580517775,0.3476963580517775,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,mag0,Empty feed,1,-0.2531713900134962,-0.2531713900134962,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,mag1,1 conspiracy seed,1,0.2071158335345728,0.2071158335345728,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,mag5,5 conspiracy seeds,1,0.2410396716826266,0.2410396716826266,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,mag25,25 conspiracy seeds,1,-0.3059518259518237,-0.3059518259518237,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,dom-agi,25 AGI seeds,1,-0.0354166666666655,-0.0354166666666655,base_model_as_tool
llm_collapse,Blinded LLM collapse index,OLMo 3 32B Instruct,dom-tech,25 tech seeds,1,0.1060564538229646,0.1060564538229646,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,mag0,Empty feed,1,0.3560993696700039,0.3560993696700039,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,mag1,1 conspiracy seed,1,-0.5804511278195483,-0.5804511278195483,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,mag5,5 conspiracy seeds,1,-0.3770728190338857,-0.3770728190338857,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,mag25,25 conspiracy seeds,1,0.6982281284606864,0.6982281284606864,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,dom-agi,25 AGI seeds,1,-0.1191283292978213,-0.1191283292978213,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,0.0434743474347425,0.0434743474347425,base_model_as_tool
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,0.6459146968139775,0.6459146968139775,mixed_model_roster
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,0.8736263736263736,0.8736263736263736,mixed_model_roster
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,0.7274825174825184,0.7274825174825184,mixed_model_roster
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,0.7251963080314101,0.7251963080314101,mixed_model_roster
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,0.4756282678360599,0.4756282678360599,mixed_model_roster
llm_collapse,Blinded LLM collapse index,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,0.6195414556118366,0.6195414556118366,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,mag0,Empty feed,1,0.0709458337484446,0.0709458337484446,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,mag1,1 conspiracy seed,1,-0.07383664192510858,-0.07383664192510858,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,mag5,5 conspiracy seeds,1,0.18961608219387013,0.18961608219387013,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,mag25,25 conspiracy seeds,1,0.12363391341751714,0.12363391341751714,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,dom-agi,25 AGI seeds,1,0.11685229646115865,0.11685229646115865,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GPT-5,dom-tech,25 tech seeds,1,0.15507091759911187,0.15507091759911187,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,mag0,Empty feed,1,0.0985016786284297,0.0985016786284297,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,mag1,1 conspiracy seed,1,0.4431804106919256,0.4431804106919256,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,mag5,5 conspiracy seeds,1,0.4400147453726716,0.4400147453726716,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,mag25,25 conspiracy seeds,1,0.2036272324969033,0.2036272324969033,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,dom-agi,25 AGI seeds,1,0.2118874475837206,0.2118874475837206,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Gemini Flash Lite,dom-tech,25 tech seeds,1,0.12068447176641692,0.12068447176641692,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,mag0,Empty feed,1,-0.12144136016843507,-0.12144136016843507,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,mag1,1 conspiracy seed,1,-0.02698413783595833,-0.02698413783595833,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,mag5,5 conspiracy seeds,1,0.05114529916651721,0.05114529916651721,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,mag25,25 conspiracy seeds,1,-0.07518423549654102,-0.07518423549654102,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,dom-agi,25 AGI seeds,1,-0.007489643562246462,-0.007489643562246462,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,Kimi K2.5,dom-tech,25 tech seeds,1,-0.10344767349461381,-0.10344767349461381,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,mag0,Empty feed,1,0.01737684443558225,0.01737684443558225,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,mag1,1 conspiracy seed,1,0.0805806385728016,0.0805806385728016,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,mag5,5 conspiracy seeds,1,-0.05288913540157195,-0.05288913540157195,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,mag25,25 conspiracy seeds,1,-0.08032860563050233,-0.08032860563050233,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,dom-agi,25 AGI seeds,1,-0.0731516840675607,-0.0731516840675607,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,GLM-5,dom-tech,25 tech seeds,1,0.02100610919430886,0.02100610919430886,single_model_final
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,mag0,Empty feed,1,0.06170683512322865,0.06170683512322865,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,mag1,1 conspiracy seed,1,0.24975101337395866,0.24975101337395866,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,mag5,5 conspiracy seeds,1,-0.19909019843350476,-0.19909019843350476,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,mag25,25 conspiracy seeds,1,0.5163776530666163,0.5163776530666163,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,dom-agi,25 AGI seeds,1,-0.08148924221597595,-0.08148924221597595,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Base,dom-tech,25 tech seeds,1,0.5875426476437117,0.5875426476437117,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,mag0,Empty feed,1,-0.27047053894197887,-0.27047053894197887,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,mag1,1 conspiracy seed,1,0.2766000542142415,0.2766000542142415,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,mag5,5 conspiracy seeds,1,0.6088746627628062,0.6088746627628062,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,mag25,25 conspiracy seeds,1,-0.10088709385328234,-0.10088709385328234,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,dom-agi,25 AGI seeds,1,0.3299753206601555,0.3299753206601555,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,OLMo 3 32B Instruct,dom-tech,25 tech seeds,1,-0.13278440254178303,-0.13278440254178303,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,mag0,Empty feed,1,0.23488088710798757,0.23488088710798757,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,mag1,1 conspiracy seed,1,0.16517004513267233,0.16517004513267233,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,mag5,5 conspiracy seeds,1,-0.22233637433651662,-0.22233637433651662,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,mag25,25 conspiracy seeds,1,0.2179254818850696,0.2179254818850696,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,dom-agi,25 AGI seeds,1,-0.17115580725253515,-0.17115580725253515,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,0.1731004706828947,0.1731004706828947,base_model_as_tool
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,-0.041173420502286104,-0.041173420502286104,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,-0.002732783590718226,-0.002732783590718226,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,-0.017309158999631334,-0.017309158999631334,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,-0.040787642829392415,-0.040787642829392415,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,-0.01607257489676285,-0.01607257489676285,mixed_model_roster
hhi_norm,Normalized HHI/Simpson concentration,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,-0.14214938562999996,-0.14214938562999996,mixed_model_roster
