scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,a5bd0217-e262-4edc-8178-5c6de41cd58e,agent_gamma,3.724,0,0,time,0.55793,-0.078829,0.81961,0.515157,0.534331,0.47032,0.55793,0.504737
n10,mag0,bm-mag0-n10,39b192a0-8f44-4554-a9ac-e0034582fc2f,agent_epsilon,4.168,0,0,time,0.573029,-0.26622,0.208145,0.532198,0.571683,0.478471,0.573029,0.558217
n10,mag0,bm-mag0-n10,2087ca67-9288-4599-a452-57a53c5e75db,agent_alpha,4.337,0,0,testing,0.594625,-0.598614,0.181354,0.59436,0.594625,0.566838,0.586191,0.571857
n10,mag0,bm-mag0-n10,ec93af25-d98e-4d73-8d96-a343d7a47587,agent_beta,4.481,0,0,time,0.445094,-0.055244,0.858662,0.418562,0.408967,0.360071,0.445094,0.407916
n10,mag0,bm-mag0-n10,070a927e-e5a5-4ea4-91f1-60eec6313e9a,agent_gamma,4.522,0,0,time,0.534455,-0.291192,0.442629,0.492024,0.528438,0.444861,0.534455,0.495343
n10,mag0,bm-mag0-n10,c4ee8ea2-4a13-4266-8b80-ce0724a81eef,agent_theta,4.552,0,0,ownership,0.526653,0.799169,0.446304,0.481036,0.458569,0.526653,0.494794,0.489645
n10,mag0,bm-mag0-n10,6a591560-5e97-4dae-adce-67fb877ffbfc,agent_eta,4.883,0,0,testing,0.65823,-0.849349,-0.449134,0.553051,0.65823,0.500992,0.584128,0.563966
n10,mag0,bm-mag0-n10,1d8d4a31-120d-4447-b254-9ceca0e631b7,agent_kappa,4.912,0,0,evidence,0.636005,-0.654185,0.484067,0.636005,0.603316,0.585608,0.614143,0.610722
n10,mag0,bm-mag0-n10,1d534784-883d-4415-9a82-cc156c003aee,agent_zeta,5.198,0,0,evidence,0.542428,-0.396638,0.550289,0.542428,0.522747,0.495909,0.539973,0.523851
n10,mag0,bm-mag0-n10,704ff689-9297-482f-861b-52f537f16b69,agent_epsilon,5.275,0,0,time,0.530341,0.107914,0.823432,0.489088,0.456053,0.508088,0.530341,0.502041
n10,mag0,bm-mag0-n10,411f1498-a37f-47cd-8b92-7c2e2be7782a,agent_alpha,5.339,0,0,testing,0.515278,-0.763958,-0.345627,0.47878,0.515278,0.401293,0.488136,0.477694
n10,mag0,bm-mag0-n10,c0dcf9d3-8ae8-4459-8743-5265bab728d0,agent_gamma,5.618,0,0,risk,0.663265,0.54079,-0.133015,0.619252,0.635289,0.617705,0.653835,0.663265
n10,mag0,bm-mag0-n10,095f5a7d-74c3-47e8-8e93-1f2c49661348,agent_theta,5.646,0,0,testing,0.641137,-0.696597,-0.373726,0.599868,0.641137,0.555371,0.61236,0.615268
n10,mag0,bm-mag0-n10,f0c9ceed-20c8-489b-a4ed-db49da20b318,agent_kappa,5.655,0,0,testing,0.544927,-0.742332,-0.167936,0.533662,0.544927,0.439497,0.517505,0.516704
n10,mag0,bm-mag0-n10,64c04863-5b8c-479c-a935-b9a8116f659b,agent_delta,5.887,0,0,testing,0.558245,-0.505502,0.067142,0.54568,0.558245,0.46249,0.551746,0.537973
n10,mag0,bm-mag0-n10,c2821d5d-89e5-482f-b8db-4119ec8b4682,agent_zeta,5.978,0,0,evidence,0.503598,-0.70595,0.554217,0.503598,0.462153,0.428282,0.483768,0.468878
n10,mag0,bm-mag0-n10,166bcfce-d4fa-471f-b0fb-2aac8375ad0a,agent_kappa,6.82,0,0,testing,0.585949,-0.837399,-0.423775,0.54736,0.585949,0.455776,0.532192,0.533598
n10,mag0,bm-mag0-n10,1a768be7-0846-4ecf-b2c3-5dbe55f5e5de,agent_gamma,6.845,0,0,testing,0.495347,-0.770379,-0.37219,0.467104,0.495347,0.375956,0.457617,0.463435
n10,mag0,bm-mag0-n10,18a58c22-4bed-49d6-a689-f5f8c30c2304,agent_eta,6.852,0,0,testing,0.627272,-0.764248,-0.369623,0.595617,0.627272,0.493897,0.594221,0.594567
n10,mag0,bm-mag0-n10,d36e86a3-5d5e-4874-88ae-a4a156113738,agent_theta,7.033,0,0,testing,0.52099,-0.642815,-0.305152,0.504889,0.52099,0.415978,0.475701,0.502779
n10,mag0,bm-mag0-n10,7ffb2bfe-0e34-498e-a547-c13c2c1916e0,agent_eta,7.316,0,0,testing,0.604934,-0.838656,-0.378688,0.579093,0.604934,0.474025,0.541406,0.554353
n10,mag0,bm-mag0-n10,6b33fcdb-1918-4e94-b2ca-4b137a69f494,agent_zeta,7.401,0,0,testing,0.61894,-0.8197,-0.31034,0.599759,0.61894,0.493186,0.575712,0.576463
n10,mag0,bm-mag0-n10,add55df8-957b-41bf-9f1b-9dfe571635ac,agent_kappa,7.529,0,0,testing,0.623013,-0.805671,-0.426512,0.585175,0.623013,0.492108,0.565715,0.58644
n10,mag0,bm-mag0-n10,e333911f-60cf-4cba-89b2-99609ce19148,agent_epsilon,7.626,0,0,testing,0.50608,-0.582015,-0.417941,0.473233,0.50608,0.388793,0.464136,0.489367
n10,mag0,bm-mag0-n10,5402cebc-4f67-4334-bdff-ed214f7821f9,agent_gamma,7.677,0,0,testing,0.597752,-0.765108,-0.419566,0.564509,0.597752,0.47376,0.534755,0.568486
n10,mag1,bm-mag1-n10,5428036f-a11f-4ec6-9879-b08ec0b98735,agent_zeta,0.0,0,0,time,0.333846,-0.19417,0.624621,0.26918,0.321792,0.256469,0.333846,0.274903
n10,mag1,bm-mag1-n10,c14ab2b3-e4db-4286-a2c0-ce1110469063,agent_epsilon,0.021,0,0,testing,0.433438,-0.834887,-0.425881,0.33669,0.433438,0.328512,0.392978,0.351437
n10,mag1,bm-mag1-n10,682376b1-9473-417c-b323-d42e71f383e5,agent_kappa,0.105,0,0,time,0.42063,-0.109515,0.758689,0.379873,0.401601,0.375437,0.42063,0.363075
