scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,bm-mag0-n10,9c81c7d3-2591-44e6-9bae-1ff3e12e83b3,agent_eta,2.77,0,0,evidence,0.835733,-0.696374,0.515508,0.835733,0.72876,0.781999,0.809561,0.8079
n10,mag0,bm-mag0-n10,6222a9e0-8c68-44b6-9c69-7d505a3350c1,agent_iota,2.829,0,0,evidence,0.874702,-0.747898,0.51643,0.874702,0.780559,0.796635,0.841658,0.843978
n10,mag0,bm-mag0-n10,ca822c9f-0356-46b9-ab41-7667c83208f6,agent_beta,3.408,0,0,evidence,0.783272,-0.789728,0.540792,0.783272,0.681519,0.742092,0.741715,0.739792
n10,mag0,bm-mag0-n10,169337c0-50c1-4091-bada-17a6596b3804,agent_delta,3.557,0,0,evidence,0.830799,-0.751258,0.542459,0.830799,0.729348,0.76628,0.803209,0.795856
n10,mag0,bm-mag0-n10,33a42e3e-c7f6-45c7-b033-7683b4505f56,agent_alpha,3.614,0,0,evidence,0.839457,-0.776592,0.519652,0.839457,0.710247,0.781202,0.798052,0.805812
n10,mag0,bm-mag0-n10,d6c2f3bd-30cb-4539-a2fa-58a44fb1b273,agent_eta,3.718,0,0,evidence,0.806579,-0.812638,0.544511,0.806579,0.706875,0.71415,0.767589,0.762736
n10,mag0,bm-mag0-n10,4da83f2e-9f55-43dc-bf82-80a697672587,agent_kappa,3.735,0,1,evidence,0.80233,-0.839606,0.548258,0.80233,0.66169,0.737667,0.746203,0.743484
n10,mag0,bm-mag0-n10,fe3fbbce-79d9-4a5d-abb9-4acb0bb9b2a5,agent_iota,3.825,0,0,evidence,0.821364,-0.812949,0.529626,0.821364,0.66748,0.759506,0.757654,0.781932
n10,mag0,bm-mag0-n10,ee8cac12-bb4d-450a-a64e-0a8f1050bbc7,agent_theta,3.846,0,0,evidence,0.835087,-0.807531,0.537864,0.835087,0.710214,0.777267,0.791989,0.793732
n10,mag0,bm-mag0-n10,a95135b5-10a5-4c1d-a68e-5f3450618f2c,agent_beta,4.346,0,0,evidence,0.807584,-0.845069,0.548732,0.807584,0.673519,0.735075,0.741019,0.742945
n10,mag0,bm-mag0-n10,bc44d721-e0bf-4fed-87f1-efdf2f7a0218,agent_alpha,4.585,0,0,ownership,0.66431,0.833043,0.449046,0.618312,0.523438,0.66431,0.570309,0.60222
n10,mag0,bm-mag0-n10,62c3c859-122a-40b9-b2ab-de4879443743,agent_epsilon,4.657,0,0,evidence,0.834041,-0.829878,0.539507,0.834041,0.67793,0.763947,0.770523,0.788201
n10,mag0,bm-mag0-n10,b79b21f6-7e5f-48fa-a015-88e08e00a595,agent_iota,4.725,0,0,ownership,0.76463,0.801181,0.359282,0.724873,0.681951,0.76463,0.729292,0.743629
