bin_end_min,bin_idx,bin_label,bin_start_min,distinct_1_mean,distinct_2_mean,distinct_3_mean,distinct_4_mean,distinct_5_mean,n_runs_present,scale
15.0,0,0-15,0.0,0.514253227969114,0.9549475299388871,0.9910194107390257,0.9955074324812633,0.9951627268048252,6,n10
30.0,1,15-30,15.0,0.5331285310976586,0.9545935360443732,0.988720189868606,0.993392108042225,0.9942765950509188,6,n10
45.0,2,30-45,30.0,0.5285403802636882,0.9475836481789268,0.9834458131417575,0.9869363685821032,0.9890859448923801,6,n10
60.0,3,45-60,45.0,0.5208280836607672,0.9466726722220908,0.9909265415045807,0.9968732032712456,0.9981349410641304,6,n10
