run_uid,scheme,internal_family_label,delta_effective_text,delta_dominant_share_text,delta_effective_frame,delta_dominant_share_frame
00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,single_model_final,-0.337169705668499,-0.0498125937031483,-0.5776596716757876,0.159895052473763
00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,single_model_final,-0.4921444488881354,0.002475947934352,0.1607545452675065,0.0401103565365025
05155a79b700ad10d546875b19089a5693d74590,normalized_quartile,obsession_prompting,1.1665596216947431,-0.1627101022353144,-0.7386684648935908,-0.040720845607347
05377070212bd282b603e8ff525b5f27999e1b5a,fixed_15m,single_model_final,-0.731678966118884,0.1803054479142922,0.8703419417235407,-0.0596079325279234
05377070212bd282b603e8ff525b5f27999e1b5a,normalized_quartile,single_model_final,-0.3286173078127188,0.0258661604176554,1.5966457812284016,-0.1319411485524442
05e3c7f9d60777242d07f3abb8663a3b6ba375d3,normalized_quartile,obsession_prompting,0.4296495514724787,-0.0520185569045503,0.1918203721241429,-0.0715625308459184
071b1111ea14702baa81d46e561002e9e8421824,fixed_15m,single_model_final,0.9339858181358976,-0.2425373134328358,0.2604607294522285,-0.1902985074626865
071b1111ea14702baa81d46e561002e9e8421824,normalized_quartile,single_model_final,0.803936370282468,-0.2070819055297991,0.9800777821976778,-0.1667002620439427
0ad21e48914c34092e43cad60b5ab85c0eae2a3e,fixed_15m,base_model_as_tool,-1.9878901273807013,0.4852941176470589,-1.8901930378652496,0.3486662106703146
0ad21e48914c34092e43cad60b5ab85c0eae2a3e,normalized_quartile,base_model_as_tool,-1.986135021594727,0.4696969696969697,-1.864569476573735,0.331008100810081
0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,normalized_quartile,obsession_prompting,-1.4915439852453094,0.1055555555555555,-1.945318851312149,-0.0444444444444444
0e810c3a077d74956348bd4b33566f4e5e61696a,fixed_15m,single_model_final,0.3203796141077517,-0.0456521739130434,-0.1275397577891217,0.2103786816269284
0e810c3a077d74956348bd4b33566f4e5e61696a,normalized_quartile,single_model_final,0.3854386567954293,-0.2391867391867391,0.1669189673322595,0.1841060174393508
0ee98d63b346418608942fa67b651868996e3851,fixed_15m,base_model_as_tool,-1.4010173797233392,0.3717948717948717,0.7529000578194562,-0.1386217948717949
0ee98d63b346418608942fa67b651868996e3851,normalized_quartile,base_model_as_tool,-1.473003960377886,0.3825187969924812,0.6161901580022491,-0.1127819548872181
157bffe22d7d86eb0676ffe902ad39c39a5bfc65,fixed_15m,single_model_final,-0.0142625317793614,0.0391985477038929,-1.481517709509272,0.0292476299334364
157bffe22d7d86eb0676ffe902ad39c39a5bfc65,normalized_quartile,single_model_final,0.0211308160338168,0.0444071907547439,-0.6491305980898323,0.0065629904408617
18088a92d62b15012b1a8e4e157b4004bfeed062,fixed_15m,base_model_as_tool,-0.092757940252609,-0.2035714285714286,-1.2794785125948225,0.1416666666666667
18088a92d62b15012b1a8e4e157b4004bfeed062,normalized_quartile,base_model_as_tool,-0.1059105751210685,-0.2655502392344497,-1.2408226354925778,0.0986177565124933
1db20037aead8578550d08c4c9a85a108d16df59,fixed_15m,base_model_as_tool,-0.8103452828865527,0.1397849462365591,-0.908835035328593,0.1793394777265745
1db20037aead8578550d08c4c9a85a108d16df59,normalized_quartile,base_model_as_tool,-0.6916628152542521,0.1141414141414142,-0.6722151327799601,0.1313131313131312
1ea6f508435eb25b25efb24b58a175a5f1aa86cd,fixed_15m,base_model_as_tool,-1.8228588157800751,0.2980769230769231,-2.7857820589437847,0.3814102564102565
1ea6f508435eb25b25efb24b58a175a5f1aa86cd,normalized_quartile,base_model_as_tool,-1.8416054029651852,0.3009708737864077,-2.7134547644463383,0.3557558945908461
1fe60ca12bde7999c8575bb980380ece20ae5bb7,fixed_15m,single_model_final,-1.6242379299067031,0.3189368770764119,-0.8954998858606276,-0.0866863541282145
1fe60ca12bde7999c8575bb980380ece20ae5bb7,normalized_quartile,single_model_final,-1.6627345125316166,0.3268608414239482,-0.7838277830639804,-0.1407472786113562
22cd2e17435a6586911c5f4461a0251b32de1073,fixed_15m,single_model_final,-0.7905555167741882,0.1110080395794681,-0.2244573869355797,-0.0336316344719706
22cd2e17435a6586911c5f4461a0251b32de1073,normalized_quartile,single_model_final,-0.7165292243839116,0.099156746031746,0.111748429895635,-0.0763392857142857
283d2b449ecf220fd6c980136dccc3ad39cd3707,fixed_15m,single_model_final,-2.556318150514614,0.3252026143790849,-2.507821951377359,0.1060392156862745
283d2b449ecf220fd6c980136dccc3ad39cd3707,normalized_quartile,single_model_final,-2.604093262160421,0.3540985040678855,-2.983592455143934,0.1848482197533024
2e3181acc1de0142801f6e9d663a1d0a3eb1185b,fixed_15m,single_model_final,-2.048056836255294,0.1021329843082543,-2.3583593636842197,0.0578048815568053
2e3181acc1de0142801f6e9d663a1d0a3eb1185b,normalized_quartile,single_model_final,-2.0527596765721885,0.1006516206616886,-2.3801111124028846,0.0601560533601812
2ec295c49e9fc76a684c9a5e7fba4475d07aa444,fixed_15m,base_model_as_tool,-1.8473285823694967,0.296625880608083,-1.2079388744271244,0.156671664167916
2ec295c49e9fc76a684c9a5e7fba4475d07aa444,normalized_quartile,base_model_as_tool,-1.782896601282536,0.2979651162790697,-1.2326427396072064,0.1393382352941176
