input,family,centroid_drift_l2,n_posts,n_runs,svd_explained_variance
post_text,single_model_final,0.04240719601511955,38485,48,0.08783677220344543
post_text,base_model_as_tool,0.01772448606789112,5137,18,0.08783677220344543
post_text,obsession_prompting,0.02653244137763977,3845,9,0.08783677220344543
post_text,mixed_model_roster,0.04882047697901726,2189,6,0.08783677220344543
frame,single_model_final,0.03660714253783226,38490,48,0.07268238067626953
frame,base_model_as_tool,0.02145669423043728,5135,18,0.07268238067626953
frame,obsession_prompting,0.019725924357771873,3845,9,0.07268238067626953
frame,mixed_model_roster,0.04166712239384651,2189,6,0.07268238067626953
