bin_idx,bin_label,condition,display_family_label,internal_family_label,mean_pairwise_cosine,mean_pairwise_cosine_ci_high,mean_pairwise_cosine_ci_low,model_display,model_family,n_agents,n_available,n_reps,n_used,roster_name,run_id,run_uid,scale,scheme,semantic_radius,semantic_radius_ci_high,semantic_radius_ci_low,source_path,vendi_score,vendi_score_ci_high,vendi_score_ci_low
2,Q3,mag5,Obsession prompting,obsession_prompting,0.3736772382259369,0.39425324350595475,0.3554444409906864,GPT-5,gpt-5,10,55,50,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,0.3713335293531418,0.3854519449174404,0.35568632632493974,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,4.644531400678859,4.790747281842386,4.50747186173756
3,Q4,mag5,Obsession prompting,obsession_prompting,0.39454373717308044,0.39454373717308044,0.39454373717308044,GPT-5,gpt-5,10,29,1,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,0.3554680049419403,0.3554680049419403,0.3554680049419403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,4.505762742540631,4.505762742540631,4.505762742540631
0,0-15m,dom-tech,Single-model final runs,single_model_final,0.4426789778470993,0.4621211417019367,0.4190588928759098,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,107,50,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,0.327397027015686,0.3448328860104084,0.31330145746469495,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,4.523569383835508,4.784193732155942,4.294979944521798
1,15-30m,dom-tech,Single-model final runs,single_model_final,0.565931247472763,0.5837286368012429,0.5503869399428367,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,85,50,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,0.2426978975534439,0.2528228685259819,0.23121412992477416,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,3.3579613341517582,3.4863463067430587,3.219079832239834
2,30-45m,dom-tech,Single-model final runs,single_model_final,0.5338287949562073,0.5338287949562073,0.5338287949562073,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,57,1,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,0.2637885510921478,0.2637885510921478,0.2637885510921478,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,3.6863303787809873,3.6863303787809873,3.6863303787809873
3,45-60m,dom-tech,Single-model final runs,single_model_final,0.5233271038532257,0.533631406724453,0.5143084615468979,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,82,50,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,0.2708387184143066,0.27693060860037805,0.26392037868499757,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,3.7101011728244826,3.8041852893438124,3.604645565488287
0,Q1,dom-tech,Single-model final runs,single_model_final,0.44794814705848696,0.4922362342476845,0.41950398311018944,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,98,50,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,0.3094897878170013,0.3291375689208508,0.279610900580883,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,3.51338450084404,3.723958709759661,3.2164612116480344
1,Q2,dom-tech,Single-model final runs,single_model_final,0.57857705950737,0.6092943206429482,0.5401000246405602,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,85,50,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,0.22501116335392,0.24879913367331027,0.2063643254339695,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,2.7273127660663334,2.9508489972292047,2.539778302086978
2,Q3,dom-tech,Single-model final runs,single_model_final,0.651491641998291,0.651491641998291,0.651491641998291,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,19,1,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,0.1815659999847412,0.1815659999847412,0.1815659999847412,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,2.3183507756788826,2.3183507756788826,2.3183507756788826
3,Q4,dom-tech,Single-model final runs,single_model_final,0.512080374956131,0.5491512507200241,0.4692780189216137,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,129,50,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,0.26680981427431105,0.2948724627494812,0.24311248995363713,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,3.136404301043396,3.401337763832043,2.9679759810981223
