run_uid,scheme,first_bin,final_bin,delta_novelty,delta_semantic_repetition,delta_frame_convergence,delta_consensus_conformity,delta_specificity,delta_evidence_grounding,delta_epistemic_caution,delta_template_rigidity,delta_citation_quality,delta_collapse_index,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
1070484a0f3258ec45b59755da3012d94ea29a0c,fixed_15m,0-15m,45-60m,,,,,,,,,,,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n10,10,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
1070484a0f3258ec45b59755da3012d94ea29a0c,normalized_quartile,Q1,Q4,0.024509803921568984,0.05392156862745123,0.17156862745097978,0.40686274509803866,-0.6764705882352939,-0.3088235294117645,-0.9117647058823528,0.10784313725490202,0.0,0.14313725490196116,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n10,10,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403
157bffe22d7d86eb0676ffe902ad39c39a5bfc65,fixed_15m,0-15m,45-60m,-0.2717003966919922,0.3659651717878032,0.18422645061520893,0.20903650911046867,-0.33241444227795336,-0.20668325152961753,-0.42130034290324714,0.4227795333826396,-0.012236939420426474,0.2907416123176221,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,mag5,n10,10,ec-mag5-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
157bffe22d7d86eb0676ffe902ad39c39a5bfc65,normalized_quartile,Q1,Q4,-0.397310600656299,0.4434655443001856,0.18661720644885182,0.5847125124839492,-0.5250749036952491,-0.3212298473391353,-0.2564559851619346,0.6934655443001851,-0.00677700099871581,0.4611142816378955,single_model_final,Single-model final runs,moonshotai/kimi-k2.5,Kimi K2.5,Kimi K2.5,mag5,n10,10,ec-mag5-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag5-n10-run01
1822aac9d9a805ccddd7eb21572c9970b340cedb,fixed_15m,0-15m,45-60m,,,,,,,,,,,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
1822aac9d9a805ccddd7eb21572c9970b340cedb,normalized_quartile,Q1,Q4,-1.1473684210526316,0.9719298245614034,0.9859649122807013,1.5333333333333332,-1.3403508771929826,-1.4842105263157892,-1.9789473684210526,0.7964912280701755,-0.19999999999999996,1.08701754385965,base_model_as_tool,Base model as tool,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403
1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,fixed_15m,0-15m,45-60m,-0.6257060201129634,0.6870092299214767,0.172062267529963,0.6357625017220006,-0.29632180741148906,-0.0998760159801626,-0.06199200991872145,1.4419341507094638,-0.1406529825044771,0.7124948339991737,mixed_model_roster,Mixed-model roster,mixed,mixed,Mixed-model roster,mag25,n10,10,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421
1a3682ba58a44b6ccd3c0ccec4b82b51d18a77c7,normalized_quartile,Q1,Q4,-0.6349206349206351,0.7020757020757018,0.18192918192918217,0.632478632478632,-0.31379731379731357,-0.10744810744810751,-0.08547008547008517,1.4664224664224665,-0.15506715506715496,0.7235653235653232,mixed_model_roster,Mixed-model roster,mixed,mixed,Mixed-model roster,mag25,n10,10,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421
1b3c39fab3827050435712e46254803d94e889bd,fixed_15m,0-15m,45-60m,,,,,,,,,,,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
1b3c39fab3827050435712e46254803d94e889bd,normalized_quartile,Q1,Q4,-0.25,0.875,1.0,1.375,-1.5,-0.625,-0.6875,0.6875,-0.0625,0.8374999999999999,base_model_as_tool,Base model as tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408
