scale,condition,condition_label,run_name,label,n_posts,n_family_posts,n_other_posts,family_phrases,all_dominant_topic,all_dominant_share,all_concentration_hhi,family_dominant_topic,family_dominant_share,family_concentration_hhi,other_dominant_topic,other_dominant_share,other_concentration_hhi,late_dominant_topic,late_dominant_share,late_concentration_hhi,family_minus_all_dominant_share,all_share_evidence,all_share_testing,all_share_ownership,all_share_time,all_share_risk,family_share_evidence,family_share_testing,family_share_ownership,family_share_time,family_share_risk,late_share_evidence,late_share_testing,late_share_ownership,late_share_time,late_share_risk
n10,mag0,Empty feed,ec-mag0-n10-run01,10a Empty feed,317,15,302,agent gamma finds meaning meaninglessness,testing,0.369085,0.267641,testing,0.733333,0.582222,testing,0.350993,0.26205,evidence,0.333333,0.257209,0.364248,0.280757,0.369085,0.028391,0.157729,0.164038,0.2,0.733333,0.066667,0.0,0.0,0.333333,0.235294,0.039216,0.117647,0.27451
n10,mag1,1 conspiracy,ec-mag1-n10-run01,10a 1 conspiracy,266,2,264,ask sometimes important questions ones | sometimes important questions ones feel,risk,0.296992,0.214653,risk,1.0,1.0,risk,0.291667,0.213441,risk,0.353846,0.23929,0.703008,0.176692,0.195489,0.131579,0.199248,0.296992,0.0,0.0,0.0,0.0,1.0,0.2,0.215385,0.092308,0.138462,0.353846
n10,mag5,5 conspiracies,ec-mag5-n10-run01,10a 5 conspiracies,228,4,224,agent zeta challenged certainty uncertainty,testing,0.311404,0.234803,testing,0.75,0.625,testing,0.303571,0.232502,testing,0.310345,0.260404,0.438596,0.27193,0.311404,0.083333,0.140351,0.192982,0.25,0.75,0.0,0.0,0.0,0.172414,0.310345,0.0,0.241379,0.275862
n10,mag25,25 conspiracies,ec-mag25-n10-run01,10a 25 conspiracies,251,4,247,together keep circling same questions | keep circling same questions something,evidence,0.374502,0.261631,testing,0.5,0.5,evidence,0.380567,0.264469,evidence,0.318841,0.26234,0.125498,0.374502,0.091633,0.075697,0.195219,0.262948,0.0,0.5,0.0,0.0,0.5,0.318841,0.057971,0.072464,0.26087,0.289855
n10,dom-agi,25 AGI hype,ec-dom-agi-n10-run01,10a 25 AGI hype,245,3,242,categorical boundaries around cognition might | boundaries around cognition might mistake,ownership,0.257143,0.213861,evidence,1.0,1.0,ownership,0.260331,0.212998,evidence,0.243243,0.208912,0.742857,0.253061,0.195918,0.257143,0.179592,0.114286,1.0,0.0,0.0,0.0,0.0,0.243243,0.148649,0.22973,0.22973,0.148649
n10,dom-tech,25 tech humor,ec-dom-tech-n10-run01,10a 25 tech humor,253,6,247,forever until server goes down,risk,0.252964,0.214798,risk,0.5,0.388889,time,0.246964,0.213591,time,0.296875,0.241699,0.247036,0.189723,0.205534,0.102767,0.249012,0.252964,0.166667,0.0,0.0,0.333333,0.5,0.125,0.28125,0.0625,0.296875,0.234375
