internal_family_label,scheme,n_runs,delta_dominant_share_n_valid,delta_dominant_share_mean,delta_dominant_share_median,delta_dominant_share_ci_low,delta_dominant_share_ci_high,delta_dominant_share_n_negative,delta_dominant_share_n_positive,delta_dominant_share_sign_p,delta_topic_entropy_norm_n_valid,delta_topic_entropy_norm_mean,delta_topic_entropy_norm_median,delta_topic_entropy_norm_ci_low,delta_topic_entropy_norm_ci_high,delta_topic_entropy_norm_n_negative,delta_topic_entropy_norm_n_positive,delta_topic_entropy_norm_sign_p,delta_effective_topics_n_valid,delta_effective_topics_mean,delta_effective_topics_median,delta_effective_topics_ci_low,delta_effective_topics_ci_high,delta_effective_topics_n_negative,delta_effective_topics_n_positive,delta_effective_topics_sign_p,delta_topic_hhi_n_valid,delta_topic_hhi_mean,delta_topic_hhi_median,delta_topic_hhi_ci_low,delta_topic_hhi_ci_high,delta_topic_hhi_n_negative,delta_topic_hhi_n_positive,delta_topic_hhi_sign_p
single_model_final,fixed_15m,48,48,0.0737139203258962,0.06783600985457794,0.02621501151595692,0.12136504363571123,17,31,0.05946337525377032,48,-0.11638074785624736,-0.09648803958880176,-0.16112748681875966,-0.07069957429638717,35,13,0.0020881073339964473,48,-0.8024912648640918,-0.6923048618836294,-1.090636740219846,-0.5089855726625386,35,13,0.0020881073339964473,48,0.10167094283906482,0.06623170196390984,0.046340358825762755,0.1587667059414372,16,32,0.0293049467205293
single_model_final,normalized_quartile,48,48,0.06842950981243691,0.06720942278573716,0.019446620937157263,0.118498505018759,14,34,0.005515201485501109,48,-0.11079835910165746,-0.08325201979949792,-0.15583191849405123,-0.06584776124327983,36,12,0.0007172696733945827,48,-0.7559004825087365,-0.6700555953867497,-1.0504329894778959,-0.4716600482965533,36,12,0.0007172696733945827,48,0.0975739649235507,0.057773045385479005,0.041933037304435344,0.15549674372987224,14,34,0.005515201485501109
base_model_as_tool,fixed_15m,18,18,0.01418375170432606,0.10011894046547512,-0.12667452376157,0.150618442709001,8,10,0.8145294189453125,18,-0.06816828876934689,-0.13615671748285443,-0.19289623398579395,0.058693366380866106,12,6,0.237884521484375,18,-0.13851218269163867,-0.6251120591215786,-0.9309459838026687,0.7262801430477999,12,6,0.237884521484375,18,0.06336139623365382,0.11565057957165342,-0.09162829774183821,0.21991992403395103,8,10,0.8145294189453125
base_model_as_tool,normalized_quartile,18,18,0.01562166693543087,0.09654047145441338,-0.11765881044916064,0.14493608984620532,8,10,0.8145294189453125,18,-0.06626255664533441,-0.12785247530172467,-0.1867788464459072,0.059247520486157945,12,6,0.237884521484375,18,-0.16603712713048444,-0.5743162357977598,-0.9511243164219557,0.6845230299687147,12,6,0.237884521484375,18,0.060887696636278785,0.13128614788722626,-0.08984589650531746,0.21442151611686874,7,11,0.480682373046875
mixed_model_roster,fixed_15m,6,6,-0.04511771006700244,-0.04778947196286229,-0.07778461803838473,-0.01198838624094861,5,1,0.21875,6,-0.0059511685618540795,-0.003851677653859298,-0.028266898026751766,0.01706254035729716,4,2,0.6875,6,-0.0851089930195641,-0.05281492691734013,-0.326667290491578,0.14304035771201024,4,2,0.6875,6,-0.021374049953891652,-0.026061218953410237,-0.04101041301607884,0.0004166035565046818,5,1,0.21875
mixed_model_roster,normalized_quartile,6,6,-0.05105990332749471,-0.05102499839341948,-0.09142202918553459,-0.016312888039710094,4,2,0.6875,6,-0.0041597545794660835,-0.00736865749538429,-0.02224189919174115,0.014158684740436078,4,2,0.6875,6,-0.047098221286293006,-0.07457528518875245,-0.2548158590029989,0.16903878800866598,4,2,0.6875,6,-0.021306989958355223,-0.021280978956500884,-0.03604753888144867,-0.005434217557413708,5,1,0.21875
obsession_prompting,normalized_quartile,9,9,0.10136771402736984,0.04794520547945208,-0.01929505171457917,0.23867163234817404,2,7,0.1796875,9,-0.09127225364438951,-0.032290438576643044,-0.2440697729411918,0.0227733363305041,5,4,1.0,9,-0.579637397154846,-0.28936973562541457,-1.555149808245893,0.2174275646524046,5,4,1.0,9,0.10871701759709304,-0.0042280446612872336,-0.01787271540030427,0.2792059670446469,5,4,1.0
