bin_idx,bin_label,condition,display_family_label,dominant_share,dominant_topic,effective_topics,internal_family_label,model_display,model_family,n_agents,n_agents_observed,n_posts,roster_name,run_id,run_uid,scale,scheme,source_path,topic_01_share,topic_02_share,topic_03_share,topic_04_share,topic_05_share,topic_06_share,topic_07_share,topic_08_share,topic_09_share,topic_10_share,topic_11_share,topic_12_share,topic_entropy,topic_entropy_norm,topic_hhi
2,Q3,mag5,Obsession prompting,0.45454545454545453,T10,3.222861864936306,obsession_prompting,GPT-5,gpt-5,10,7,55,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,0.0,0.0,0.03636363636363636,0.0,0.21818181818181817,0.0,0.0,0.0,0.2909090909090909,0.45454545454545453,0.0,0.0,1.170269742757609,0.4709511895979877,0.3401652892561983
3,Q4,mag5,Obsession prompting,0.3448275862068966,T10,4.083870884761298,obsession_prompting,GPT-5,gpt-5,10,6,29,GPT-5,obs-mag5-n10-run01-gpt-5-20260419,05155a79b700ad10d546875b19089a5693d74590,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,0.034482758620689655,0.0,0.10344827586206896,0.0,0.20689655172413793,0.0,0.0,0.0,0.3103448275862069,0.3448275862068966,0.0,0.0,1.407045284905816,0.5662366773519875,0.2699167657550535
0,0-15m,dom-tech,Single-model final runs,0.5514018691588785,T01,2.6728374189446447,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,107,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.5514018691588785,0.0,0.0,0.3644859813084112,0.0,0.028037383177570093,0.0,0.04672897196261682,0.0,0.009345794392523364,0.0,0.0,0.9831406118668735,0.3956448874853106,0.43995108743121664
1,15-30m,dom-tech,Single-model final runs,0.8823529411764706,T04,1.4925045469737572,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,85,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.10588235294117647,0.0,0.0,0.8823529411764706,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.40045561282856046,0.16115519384308674,0.7898961937716262
2,30-45m,dom-tech,Single-model final runs,0.40350877192982454,T01,3.2983883381410646,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,57,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.40350877192982454,0.0,0.0,0.19298245614035087,0.0,0.3684210526315789,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,1.1934339667934202,0.4802731591125316,0.3364112034472145
3,45-60m,dom-tech,Single-model final runs,0.7317073170731707,T06,1.9411584528257606,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,82,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.24390243902439024,0.0,0.0,0.024390243902439025,0.0,0.7317073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.6632849354895488,0.26692549418149647,0.5954788816180845
0,Q1,dom-tech,Single-model final runs,0.6020408163265306,T01,2.6463874082483962,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,98,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.6020408163265306,0.0,0.0,0.30612244897959184,0.0,0.030612244897959183,0.0,0.05102040816326531,0.0,0.01020408163265306,0.0,0.0,0.9731954677677459,0.39164266707997825,0.45980841316118287
1,Q2,dom-tech,Single-model final runs,0.8823529411764706,T04,1.4925045469737572,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,85,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.10588235294117647,0.0,0.0,0.8823529411764706,0.0,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.40045561282856046,0.16115519384308674,0.7898961937716262
2,Q3,dom-tech,Single-model final runs,0.9473684210526315,T04,1.2289892094880017,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,4,19,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.05263157894736842,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20619205063323187,0.08297778536301278,0.9002770083102491
3,Q4,dom-tech,Single-model final runs,0.627906976744186,T06,2.3177701004356774,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,10,129,Gemini Flash Lite,ec-dom-tech-n10-run01,05377070212bd282b603e8ff525b5f27999e1b5a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01,0.32558139534883723,0.0,0.0,0.031007751937984496,0.0,0.627906976744186,0.007751937984496124,0.007751937984496124,0.0,0.0,0.0,0.0,0.8406055598589699,0.3382845628952243,0.5013520822065981
0,Q1,mag1,Obsession prompting,0.3550488599348534,T10,4.3148364612950205,obsession_prompting,GPT-5,gpt-5,10,9,307,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,0.0,0.11400651465798045,0.05863192182410423,0.003257328990228013,0.2996742671009772,0.0,0.0,0.0,0.16938110749185667,0.3550488599348534,0.0,0.0,1.4620594237696625,0.588375995490373,0.26100011671211365
1,Q2,mag1,Obsession prompting,0.34011627906976744,T09,4.452025407035791,obsession_prompting,GPT-5,gpt-5,10,8,344,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,0.0,0.14825581395348839,0.055232558139534885,0.0029069767441860465,0.18895348837209303,0.0,0.0,0.0,0.34011627906976744,0.26453488372093026,0.0,0.0,1.4933591402783688,0.6009719280222356,0.2464000811249324
2,Q3,mag1,Obsession prompting,0.5121951219512195,T10,3.8536542965973744,obsession_prompting,GPT-5,gpt-5,10,7,41,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,0.0,0.17073170731707318,0.07317073170731707,0.0,0.12195121951219512,0.0,0.0,0.0,0.12195121951219512,0.5121951219512195,0.0,0.0,1.3490218660720052,0.5428863358658149,0.3265913146936347
3,Q4,mag1,Obsession prompting,0.30303030303030304,T02,4.744486012767499,obsession_prompting,GPT-5,gpt-5,10,7,33,GPT-5,obs-mag1-n10-run01-gpt-5-20260419,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,n10,normalized_quartile,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,0.0,0.30303030303030304,0.18181818181818182,0.0,0.15151515151515152,0.0,0.0,0.0,0.12121212121212122,0.24242424242424243,0.0,0.0,1.5569831043332214,0.6265760947060347,0.22130394857667585
0,0-15m,mag1,Single-model final runs,0.4925373134328358,T03,4.749866770022925,single_model_final,GPT-5,gpt-5,10,10,134,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.014925373134328358,0.029850746268656716,0.4925373134328358,0.014925373134328358,0.11940298507462686,0.0,0.0,0.09701492537313433,0.11940298507462686,0.11194029850746269,0.0,0.0,1.5581165692369594,0.6270322345388266,0.2943862775673869
1,15-30m,mag1,Single-model final runs,0.36363636363636365,T03,4.655440811828458,single_model_final,GPT-5,gpt-5,10,10,143,GPT-5,ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,0.0,0.06293706293706294,0.36363636363636365,0.006993006993006993,0.3356643356643357,0.006993006993006993,0.0,0.06293706293706294,0.04195804195804196,0.11888111888111888,0.0,0.0,1.5380366026641807,0.6189514615349426,0.26881510098293315
