scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,n_agents,novelty_rate,new_ngrams,total_ngram_events,effective_vocab_size,top_k_concentration,effective_vocab_sub_mean,effective_vocab_sub_ci_lo,effective_vocab_sub_ci_hi,top_k_conc_sub_mean,top_k_conc_sub_ci_lo,top_k_conc_sub_ci_hi
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,258,20,0.9045,9379,10369,7262.15,0.0191,1856.8,1591.71,2099.43,0.0258,0.0192,0.0394
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,283,20,0.8504,8270,9725,5364.17,0.0319,1512.17,1250.17,1722.75,0.0388,0.0257,0.0671
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,262,20,0.7879,6878,8730,3781.15,0.0377,1357.31,1135.92,1608.5,0.0445,0.0278,0.0647
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,246,20,0.7135,5578,7818,3095.37,0.0408,1241.5,996.72,1420.86,0.0492,0.0331,0.0752
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,274,20,0.9575,10264,10720,8705.94,0.016,1878.83,1680.19,2130.04,0.0229,0.0139,0.0326
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,276,19,0.86,8502,9886,4541.07,0.038,1488.58,1300.76,1673.68,0.0439,0.0327,0.0594
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,269,19,0.8043,7155,8896,4269.93,0.0366,1378.26,1207.12,1509.27,0.0449,0.0334,0.0595
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,236,19,0.7215,5423,7516,2983.22,0.0455,1227.94,1008.06,1428.53,0.0533,0.0371,0.0747
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,249,19,0.8752,10104,11545,5203.07,0.0324,1879.93,1552.9,2196.39,0.0378,0.0262,0.0529
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,255,18,0.6711,7688,11456,3254.8,0.0411,1538.66,1256.02,1781.91,0.0463,0.0342,0.0612
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,235,18,0.6649,5981,8996,2625.32,0.0491,1307.24,1027.93,1536.85,0.0534,0.0379,0.0746
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,146,16,0.6836,3381,4946,2206.65,0.0481,1201.87,1030.38,1360.58,0.055,0.0415,0.0702
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,408,30,0.8543,16382,19176,8565.95,0.0244,2013.84,1761.97,2256.65,0.0321,0.0217,0.0464
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,396,29,0.7021,13072,18618,4071.68,0.0425,1640.89,1358.82,1887.47,0.0483,0.037,0.0587
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,414,30,0.6219,10602,17047,2075.46,0.0739,1133.49,853.89,1420.87,0.0771,0.0558,0.1005
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,352,30,0.5783,6791,11743,1818.54,0.0729,967.36,726.66,1163.58,0.0782,0.0593,0.1044
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,377,30,0.8809,19217,21816,8642.73,0.0263,2421.38,2074.25,2695.52,0.0307,0.0218,0.039
n30,dom-tech,ec-dom-tech-n30-run01,1,15.0,30.0,419,29,0.6666,16202,24305,3034.15,0.0547,1595.61,1327.3,1880.35,0.0595,0.0478,0.0746
n30,dom-tech,ec-dom-tech-n30-run01,2,30.0,45.0,367,28,0.5527,10256,18555,1805.14,0.0752,1144.99,916.84,1379.38,0.0786,0.0618,0.0968
