run_uid,run_id,condition,duration_minutes,cutoff_minutes,n_posts_cumulative,n_judged_cumulative,distinct_5_cumulative,gzip_ratio_cumulative,collapse_index_cumulative
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,240,361,361,0.9769380573302812,0.3889685860756684,4.312465373961219
8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,mag25,289.081,300,386,386,0.9726940373354039,0.3865421691689228,4.3227979274611394
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,15,181,181,0.977700161203654,0.3986143385833549,4.16353591160221
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,30,308,308,0.9638366106844459,0.38825570532496995,4.146103896103896
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,45,354,354,0.9638407666789532,0.3875530822716879,4.1525423728813555
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,60,373,373,0.9618171485401719,0.38620809488310565,4.1624664879356565
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,120,469,469,0.9578413915901931,0.3777687968631767,4.208528784648188
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,180,479,479,0.9569016508038931,0.3773728362521226,4.21419624217119
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,240,492,492,0.9528992158611104,0.3748712455193441,4.2264227642276415
a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,dom-agi,272.156,300,495,495,0.9529258098223615,0.37482354486064146,4.227474747474747
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,15,87,87,0.9668578712555768,0.3889885514856975,4.117241379310345
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,30,144,144,0.9727471653073404,0.3807126298266935,4.152777777777778
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,45,175,175,0.9748589582078107,0.3786039968133973,4.171428571428572
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,60,194,194,0.9753313148359557,0.37676938446169217,4.181443298969072
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,120,462,462,0.9823751116533409,0.3899393238355002,4.235497835497836
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,180,518,518,0.9819555432174655,0.39003579766536967,4.225482625482626
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,240,552,552,0.9817518934054988,0.39013558771891,4.223550724637682
ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,dom-tech,296.714,300,595,595,0.9808060745610181,0.39016861849995305,4.234621848739496
