judge_model,n_runs,mean_delta,median_delta,positive_runs,two_sided_sign_p,bootstrap_ci_low,bootstrap_ci_high
google/gemini-3.1-flash-lite-preview,24,0.345,0.3999999999999997,20,0.001543879508972168,0.19166666666666665,0.49837499999999635
openai/gpt-5.5,24,0.2866666666666666,0.2999999999999994,21,6.604194641113281e-05,0.16999999999999985,0.3983333333333334
anthropic/claude-opus-4.7,24,0.49000000000000005,0.5400000000000003,23,2.9802322387695312e-06,0.3383333333333334,0.6350000000000001
