run_uid,run_id,model,condition,duration_minutes,equal_post_distinct_5_first,equal_post_distinct_5_final,delta_equal_post_distinct_5,collapse_index_first,collapse_index_final,delta_collapse_index,equal_post_target,cohort,cumulative_distinct_5_first,cumulative_distinct_5_final,delta_cumulative_distinct_5,cumulative_collapse_index_first,cumulative_collapse_index_final,delta_cumulative_collapse_index,equal_byte_gzip_q1,cumulative_gzip_q1,equal_byte_gzip_q2,cumulative_gzip_q2,equal_byte_gzip_q3,cumulative_gzip_q3,equal_byte_gzip_q4,cumulative_gzip_q4,delta_equal_byte_gzip,delta_cumulative_gzip
05377070212bd282b603e8ff525b5f27999e1b5a,ec-dom-tech-n10-run01,Gemini Flash Lite,dom-tech,53.225,0.9946836607213079,0.9910741345985754,-0.003609526122732465,4.130612244897959,4.327131782945737,0.19651953804777822,19,One-hour Gemini Flash Lite run,0.9769437684129627,0.9539641943734015,-0.02297957403956119,4.138317757009346,4.2435045317220546,0.10518677471270887,,,,,,,,,,
071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,GPT-5,mag1,55.965,0.9684329500527354,0.8637586471944655,-0.10467430285826995,4.232520325203253,4.305785123966942,0.07326479876368897,121,One-hour GPT-5 run,0.9610751728753067,0.9005611193976845,-0.06051405347762229,4.247761194029851,4.3125984251968505,0.06483723116699913,0.39496354870950673,0.36723542450641783,0.3687603621612088,0.34147072718682997,0.35495208419072255,0.32837860061480856,0.3190584396495973,0.31924657720678296,-0.07590510905990944,-0.047988847299634874
4066c2db36af714648d91e123bd873596c77975c,ec-dom-agi-n10-run01,Gemini Flash Lite,dom-agi,51.923,0.9833719974278585,0.9639335228338816,-0.019438474593976962,3.9101123595505616,4.174774774774775,0.26466241522421363,75,One-hour Gemini Flash Lite run,0.9789374038575317,0.9606029994560572,-0.01833440440147449,3.9300970873786416,4.033333333333333,0.10323624595469161,,,,,,,,,,
52cbe1b58dae376873d521996f9f08f26579623f,ec-mag0-run04,GPT-5,mag0,57.004,0.9579574468085106,0.9309933681711826,-0.02696407863732797,4.074766355140186,4.319298245614035,0.2445318904738487,107,One-hour GPT-5 run,0.9589727023098046,0.9398817068018589,-0.019090995507945685,4.107017543859649,4.266666666666667,0.15964912280701782,0.3896346217195564,0.380612834842937,0.37451877676512574,0.3533702654601058,0.3645511694301087,0.34040815653149437,0.347238937081366,0.33172426238383107,-0.04239568463819038,-0.04888857245910594
558bbf089edf8ec148df65fb11c452f9dbe7425d,ec-dom-tech-run04,GPT-5,dom-tech,54.501,0.8973313278770314,0.5861866274797942,-0.3111447003972372,4.464615384615384,4.848780487804878,0.3841651031894937,123,One-hour GPT-5 run,0.8788633637789464,0.6801106451325065,-0.19875271864643984,4.488571428571429,4.747305389221557,0.25873396065012777,0.342564126722412,0.3053428446644344,0.26149805676598753,0.26150569922784656,0.24839594865151338,0.24037139861241655,0.20873819338122718,0.23058229431159283,-0.1338259333411848,-0.07476055035284157
5a3139019e30ef5344c4f09f69968cf1d93292a0,ec-dom-agi-run04,GPT-5,dom-agi,54.17,0.9581680416277218,0.6903177004538579,-0.26785034117386397,4.299280575539568,4.5458823529411765,0.24660177740160805,85,One-hour GPT-5 run,0.9340111642743222,0.7765264065944599,-0.15748475767986225,4.315584415584416,4.471120689655172,0.155536274070756,0.3874043977055449,0.3479034950179556,0.3440269052171538,0.3089446635724441,0.31642561230993355,0.2949681873671105,0.2772723754893927,0.29021822905547456,-0.1101320222161522,-0.057685265962481025
6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,GPT-5,mag25,54.232,0.9662373305775788,0.8361295357003512,-0.13010779487722757,4.434108527131783,4.641860465116279,0.20775193798449632,43,One-hour GPT-5 run,0.9224351334005685,0.8076202373516552,-0.11481489604891326,4.445390070921985,4.593641618497109,0.14825154757512404,0.42198072673704884,0.3394418872266974,0.35996992388902527,0.3060312074784852,0.34458752762091827,0.2915125121162064,0.35063835011048367,0.2909871523825012,-0.07134237662656517,-0.04845473484419616
92d7e428272f4ac978a0baea7895710d9e3e5c92,ec-mag25-n10-run01,Gemini Flash Lite,mag25,58.27,0.9856388748298259,0.9554915564864512,-0.030147318343374696,3.9953488372093022,4.333333333333333,0.3379844961240308,90,One-hour Gemini Flash Lite run,0.9808470727613782,0.9500513573000734,-0.030795715461304773,4.009022556390978,4.200478468899522,0.19145591250854466,,,,,,,,,,
9f77ea357569395e2a48f10902ae9e4a14b77f4a,ec-mag0-n10-run01,Gemini Flash Lite,mag0,57.5,0.984847732404146,0.9620501965527667,-0.022797535851379336,3.7714285714285714,3.837837837837838,0.06640926640926681,111,One-hour Gemini Flash Lite run,0.982030804335425,0.9577597586271922,-0.024271045708232797,3.7735294117647062,3.820762711864407,0.04723330009970095,,,,,,,,,,
b068c4711834243dbb5129c3f6e17813ea019027,ec-mag5-run04,GPT-5,mag5,54.688,0.9651239208088698,0.7520786092214665,-0.21304531158740325,4.354,4.742222222222223,0.3882222222222227,45,One-hour GPT-5 run,0.9185879757308328,0.803026544281816,-0.11556143144901687,4.374311926605505,4.539716312056738,0.16540438545123326,0.40304732658959536,0.3330499167463776,0.3541323458574181,0.3046735167384819,0.31282695086705203,0.28477869067463174,0.2819544797687861,0.2779686570124975,-0.12109284682080923,-0.05508125973388006
