bin_idx,bin_label,compression_bzip2,compression_gzip,compression_zlib,condition,display_family_label,distinct_1,distinct_1_sub_ci_high,distinct_1_sub_ci_low,distinct_1_sub_mean,distinct_2,distinct_2_sub_ci_high,distinct_2_sub_ci_low,distinct_2_sub_mean,distinct_3,distinct_3_sub_ci_high,distinct_3_sub_ci_low,distinct_3_sub_mean,distinct_4,distinct_4_sub_ci_high,distinct_4_sub_ci_low,distinct_4_sub_mean,distinct_5,distinct_5_cumulative,distinct_5_sub_ci_high,distinct_5_sub_ci_low,distinct_5_sub_mean,internal_family_label,model_display,model_family,n_agents,n_posts,roster_name,run_id,run_uid,scale,scheme,simpson_5gram_effective,source_path,subsample_target_posts
2,30-45m,nan,nan,nan,mag25,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9900297191065095,nan,nan,nan,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,0,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,54
3,45-60m,nan,nan,nan,mag25,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9900297191065095,nan,nan,nan,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,0,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,54
0,Q1,0.37621977089520575,0.4193360203648706,0.41891175222740773,mag25,Base model as tool,0.3535479837449203,0.40616012016952857,0.37675368988701274,0.39263917985746716,0.8136392206159648,0.861858849907004,0.8223205013582752,0.841631015941846,0.9519747235387046,0.9715317528559145,0.953576247945936,0.9626178105038283,0.9837992376111817,0.9917128347183748,0.9824196370969299,0.98737707047545,0.9926541041200895,0.9926541041200895,0.9975821083809544,0.9911118134861554,0.994479052902086,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,17,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,3062.530771633864,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,12
1,Q2,0.3686228085010429,0.40842212075088785,0.4076328992615142,mag25,Base model as tool,0.33344640434192674,0.3488632128214685,0.33734087694483733,0.34301872264066235,0.7979557069846678,0.8136363636363636,0.7988019732205779,0.8073274044989689,0.9572210814510609,0.964759378552482,0.9568294409058741,0.9598950453563492,0.9896871777243039,0.9927674153026266,0.9892895394501964,0.9905017626214082,0.9979281767955801,0.993529118964659,0.9988527724665393,0.9977229601518026,0.9981301149208338,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,13,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,2884.049518569464,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,12
2,Q3,0.38225458868990114,0.41784944638478116,0.4169577171732184,mag25,Base model as tool,0.3555253623188406,0.3555253623188406,0.3555253623188406,0.35552536231884074,0.8101092896174863,0.8101092896174863,0.8101092896174863,0.8101092896174863,0.9597069597069597,0.9597069597069597,0.9597069597069597,0.9597069597069599,0.9875690607734806,0.9875690607734806,0.9875690607734806,0.987569060773481,0.9944444444444445,0.9905948454867473,0.9944444444444445,0.9944444444444445,0.994444444444444,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,12,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,2136.263736263736,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,12
3,Q4,0.3877522223790038,0.4254268378721603,0.42465076901368703,mag25,Base model as tool,0.3856893542757417,0.3856893542757417,0.3856893542757417,0.3856893542757417,0.8192982456140351,0.8192982456140351,0.8192982456140351,0.8192982456140351,0.9651675485008818,0.9651675485008818,0.9651675485008818,0.9651675485008819,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9893617021276593,0.9973262032085561,0.9900297191065095,0.9973262032085561,0.9973262032085561,0.9973262032085564,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,12,Gemini Flash Lite,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,1070484a0f3258ec45b59755da3012d94ea29a0c,n10,normalized_quartile,2230.086802480071,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-gemini-3.1-flash-lite-preview/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,12
0,0-15m,0.3350476282891013,0.3849239079455954,0.38571636504779,mag5,Base model as tool,0.2576832151300236,0.2576832151300236,0.2576832151300236,0.25768321513002357,0.7491078509119746,0.7491078509119746,0.7491078509119746,0.7491078509119743,0.946927374301676,0.946927374301676,0.946927374301676,0.9469273743016764,0.9873493975903614,0.9873493975903614,0.9873493975903614,0.9873493975903613,0.996160064672595,0.996160064672595,0.996160064672595,0.996160064672595,0.9961600646725947,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,64,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,9814.673882541592,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,64
1,15-30m,nan,nan,nan,mag5,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.996160064672595,nan,nan,nan,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,0,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,64
2,30-45m,nan,nan,nan,mag5,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.996160064672595,nan,nan,nan,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,0,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,64
3,45-60m,nan,nan,nan,mag5,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.996160064672595,nan,nan,nan,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,0,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,64
0,Q1,0.390151258224242,0.4227090822763345,0.4218273078749237,mag5,Base model as tool,0.3726074011059124,0.3910196445275959,0.3731150366221456,0.3806039910659678,0.8381849315068494,0.858286252354049,0.8370177719982661,0.8449265721249869,0.965962947005601,0.9748815165876777,0.9642857142857143,0.9679370973275698,0.9913269731136166,0.9947519083969466,0.9906803355079217,0.9920232787150879,0.998254037538193,0.998254037538193,0.9990842490842491,0.9980430528375733,0.9984155128481056,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,15,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,2283.0278381905177,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,14
1,Q2,0.39346264718815654,0.42908095959349196,0.4286412273415742,mag5,Base model as tool,0.38752304855562386,0.4121546961325967,0.38918665257573537,0.4016523882392837,0.8523780111179741,0.875179856115108,0.8475696619192854,0.8608881549529793,0.9745499689633768,0.9833694866232827,0.9729149897430888,0.9769078599020118,0.9934497816593887,0.9966018727358046,0.9923011210536602,0.9941572977014778,0.9974921630094044,0.9978106185002736,0.999286485748376,0.9969159599074788,0.997760509222139,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,16,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,3170.1246105919004,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,14
2,Q3,0.3850511541388349,0.42039401369747187,0.41963304303711846,mag5,Base model as tool,0.3676181102362205,0.3676181102362205,0.3676181102362205,0.36761811023622054,0.8027750247770069,0.8027750247770069,0.8027750247770069,0.8027750247770069,0.9575848303393214,0.9575848303393214,0.9575848303393214,0.9575848303393211,0.985929648241206,0.985929648241206,0.985929648241206,0.985929648241206,0.9944331983805668,0.996379240981628,0.9944331983805668,0.9944331983805668,0.9944331983805665,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,14,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,1954.2422422422424,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,14
3,Q4,0.4049888460758467,0.44020820658419524,0.43980260934225646,mag5,Base model as tool,0.39363817097415504,0.4523460393574018,0.40739458255349614,0.42560929390169394,0.842948717948718,0.8801047797396112,0.8451471865162217,0.8624231721775444,0.973354864755753,0.9862513137151865,0.9721849687745795,0.9786229204431965,0.9926769731489016,0.9980019902697921,0.9899924892703863,0.9932675815703388,0.996719967199672,0.996160064672595,1.0,0.994844476993406,0.996736946936451,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,19,Gemini Flash Lite,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,1822aac9d9a805ccddd7eb21572c9970b340cedb,n10,normalized_quartile,2423.104276985744,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,14
0,0-15m,0.4131614050689195,0.4468652734548688,0.44579813250333483,dom-agi,Base model as tool,0.40889603429796356,0.6548643014081693,0.5591606319947334,0.6047933864483386,0.8833423765599566,0.9774450187493665,0.9322988524536567,0.9576771855202018,0.9807692307692307,1.0,0.9875818469919593,0.9940332794079353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,23,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,1774.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,5
1,15-30m,0.5640695428203477,0.5408886027044431,0.5331616226658081,dom-agi,Base model as tool,0.5949820788530465,0.5949820788530465,0.5949820788530465,0.5949820788530464,0.9525547445255474,0.9525547445255474,0.9525547445255474,0.9525547445255473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999508116084604,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,5,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,259.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,5
2,30-45m,nan,nan,nan,dom-agi,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.999508116084604,nan,nan,nan,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,0,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,5
3,45-60m,nan,nan,nan,dom-agi,Base model as tool,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.999508116084604,nan,nan,nan,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,0,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,fixed_15m,nan,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,5
0,Q1,0.4339758170717108,0.46749670776966357,0.4660600981683228,dom-agi,Base model as tool,0.450036469730124,0.8888888888888888,0.704225352112676,0.7886555551075746,0.9025830258302583,1.0,0.9333333333333333,0.980034965563631,0.9858103061986557,1.0,0.9850746268656716,0.9983778885495304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,16,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,1307.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1
1,Q2,0.5050155655482532,0.5060532687651331,0.5019024558976133,dom-agi,Base model as tool,0.5454545454545454,0.8648648648648649,0.72,0.7893903478566666,0.9385245901639344,1.0,0.976,0.9936146938775511,0.9854469854469855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,7,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,467.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1
2,Q3,0.5685131195335277,0.5502915451895044,0.5415451895043731,dom-agi,Base model as tool,0.6153846153846154,0.8918918918918919,0.7558139534883721,0.8046542048065328,0.9465020576131687,1.0,0.9647058823529412,0.9816617647058823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9995012468827931,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,4,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,231.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1
3,Q4,0.9055555555555556,0.8166666666666667,0.75,dom-agi,Base model as tool,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999508116084604,1.0,1.0,1.0,base_model_as_tool,qwen3.5-35b-a3b-instruct,qwen3.5-35b-a3b-instruct,10,1,qwen3.5-35b-a3b-instruct,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1b3c39fab3827050435712e46254803d94e889bd,n10,normalized_quartile,28.0,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-qwen3.5-35b-a3b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,1
0,0-15m,0.3016342604923709,0.35251702751036873,0.3537536623416156,mag1,Base model as tool,0.19272346855747996,0.3700841330692559,0.3194714003170206,0.3441856790450622,0.6970512520477417,0.8483799560189833,0.8045719591506831,0.8292067045112274,0.9195429379196607,0.9816111137621684,0.9417740595131373,0.9701401227689318,0.9682163187855788,0.9968850945283357,0.9608035882197503,0.9912363378853903,0.9814925373134329,0.9814925373134329,0.9996388794510024,0.9615172351583074,0.9924941577563267,base_model_as_tool,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,114,Gemini Flash Lite,bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,1baedcc083f72b81de0ab5a74555fbc789a82edd,n10,fixed_15m,16081.766594061675,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,28
