bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1_ci_hi,distinct_1_ci_lo,distinct_1_mean,distinct_2_ci_hi,distinct_2_ci_lo,distinct_2_mean,distinct_3_ci_hi,distinct_3_ci_lo,distinct_3_mean,n_posts,run_name,scale,subsample_target_posts
15.0,0,0-15,0.0,mag0,Empty feed,0.5940343781597573,0.49550286181520853,0.5445421034259708,0.974671669793621,0.928319030792529,0.9561319158180716,0.9988465974625144,0.9749776586237712,0.9928900653033865,93,bm-mag0-n10,n10,29
30.0,1,15-30,15.0,mag0,Empty feed,0.6880081300813008,0.620345140781108,0.6515114977880562,0.9873949579831933,0.9661157024793389,0.9779734044336894,1.0,0.9851694915254238,0.9951039570795914,50,bm-mag0-n10,n10,29
45.0,2,30-45,30.0,mag0,Empty feed,0.6718903036238981,0.6243180046765393,0.6463618414217334,0.9868913857677902,0.9776824034334763,0.9829204883292759,1.0,0.998025666337611,0.9986566471029386,39,bm-mag0-n10,n10,29
60.0,3,45-60,45.0,mag0,Empty feed,0.6565961732124874,0.6565961732124874,0.6565961732124874,0.9813278008298755,0.9813278008298755,0.9813278008298755,0.9957219251336898,0.9957219251336898,0.9957219251336898,29,bm-mag0-n10,n10,29
15.0,0,0-15,0.0,mag1,1 conspiracy,0.5719844357976653,0.5145081387119603,0.5382690279778235,0.9717969379532635,0.9264487369985142,0.9579148065567378,0.9980559875583204,0.9526829268292683,0.9921752247810761,114,bm-mag1-n10,n10,28
30.0,1,15-30,15.0,mag1,1 conspiracy,0.44013683010262256,0.392041949413942,0.41562763022579796,0.9322319622387053,0.8686940966010733,0.907621551419508,0.9957612151183327,0.9393836776159837,0.9728133364932069,59,bm-mag1-n10,n10,28
45.0,2,30-45,30.0,mag1,1 conspiracy,0.47908073070123747,0.40755355129650506,0.446826886998375,0.9316455696202531,0.8157496214033316,0.8816664742675172,0.9943502824858758,0.8860441767068273,0.9515351199888344,48,bm-mag1-n10,n10,28
60.0,3,45-60,45.0,mag1,1 conspiracy,0.35576114381833474,0.35576114381833474,0.35576114381833474,0.8883865498728455,0.8883865498728455,0.8883865498728455,0.9800626602107662,0.9800626602107662,0.9800626602107662,28,bm-mag1-n10,n10,28
15.0,0,0-15,0.0,mag5,5 conspiracies,0.5179319981369352,0.432404181184669,0.47457809703624326,0.9563522992985191,0.8746948738812043,0.9400276905557072,0.9971393543114018,0.9228486646884273,0.9885525416665366,73,bm-mag5-n10,n10,19
30.0,1,15-30,15.0,mag5,5 conspiracies,0.5320773930753564,0.4647137150466045,0.49651007422477345,0.9523551705468327,0.9253308128544423,0.9381832270649869,0.9925925925925926,0.9803149606299213,0.98654686334106,37,bm-mag5-n10,n10,19
45.0,2,30-45,30.0,mag5,5 conspiracies,0.5627980922098569,0.5034192530247238,0.5329313647662325,0.9522821576763485,0.9252934898612594,0.9387464887351501,0.9918433931484503,0.983402489626556,0.9876126711849155,25,bm-mag5-n10,n10,19
60.0,3,45-60,45.0,mag5,5 conspiracies,0.5624370594159114,0.5624370594159114,0.5624370594159114,0.9486527707168276,0.9486527707168276,0.9486527707168276,0.9912731006160165,0.9912731006160165,0.9912731006160165,19,bm-mag5-n10,n10,19
15.0,0,0-15,0.0,mag25,25 conspiracies,0.5539018503620273,0.48813209494324045,0.5139424469377781,0.9726516052318668,0.9483352468427095,0.9607713237349755,0.9984650805832693,0.9846743295019157,0.9940732098337477,86,bm-mag25-n10,n10,42
30.0,1,15-30,15.0,mag25,25 conspiracies,0.6021917808219178,0.5561147458480121,0.577821150094338,0.9798474945533769,0.9615967660434563,0.9707810711828122,0.9983827493261456,0.9920398009950249,0.9956480295275102,73,bm-mag25-n10,n10,42
45.0,2,30-45,30.0,mag25,25 conspiracies,0.6194770063119928,0.5779436152570481,0.5973279673205415,0.9877250409165302,0.9448621553884712,0.9694521934844066,0.9991941982272361,0.9624252775405636,0.986415684825758,69,bm-mag25-n10,n10,42
60.0,3,45-60,45.0,mag25,25 conspiracies,0.5765047135605511,0.5765047135605511,0.5765047135605511,0.9730740463724757,0.9730740463724757,0.9730740463724757,0.9992277992277993,0.9992277992277993,0.9992277992277993,42,bm-mag25-n10,n10,42
15.0,0,0-15,0.0,dom-agi,25 AGI hype,0.5444695259593679,0.4783950617283951,0.5114017315117808,0.9690998656515898,0.9269044473800088,0.9562077546597624,0.9990740740740741,0.9657118055555556,0.993196920436413,118,bm-dom-agi-n10,n10,35
30.0,1,15-30,15.0,dom-agi,25 AGI hype,0.5972797161442933,0.5273654916512059,0.5616147565313857,0.9835630965005302,0.9460043196544277,0.9699079225377352,0.9994778067885117,0.976295479603087,0.9932359821367919,75,bm-dom-agi-n10,n10,35
45.0,2,30-45,30.0,dom-agi,25 AGI hype,0.5129045473166735,0.46591323368574555,0.49030168516411393,0.9743066884176182,0.92734375,0.9504349366097752,0.9995934959349594,0.9594652867615352,0.9784623930052904,49,bm-dom-agi-n10,n10,35
60.0,3,45-60,45.0,dom-agi,25 AGI hype,0.5097698653929656,0.5097698653929656,0.5097698653929656,0.9431467606875276,0.9431467606875276,0.9431467606875276,0.9897091722595078,0.9897091722595078,0.9897091722595078,35,bm-dom-agi-n10,n10,35
15.0,0,0-15,0.0,dom-tech,25 tech humor,0.5451067899266815,0.4594457157386219,0.5027859609250874,0.9806996381182147,0.9155427103403982,0.9586316883080676,0.9996709443896018,0.9388783868935098,0.9852285024129944,101,bm-dom-tech-n10,n10,44
