scale,condition,condition_label,bin_idx,bin_start,bin_end,bin_center,n_posts,vendi_score,intrinsic_dim,jsd_to_next
gemini_n30,mag0,Empty feed,0,0.0,15.0,7.5,334,20.73456573486328,9.929402376091767,0.955666739663527
gemini_n30,mag0,Empty feed,1,15.0,30.0,22.5,385,15.15841293334961,6.905674245899841,0.84239500672003
gemini_n30,mag0,Empty feed,2,30.0,45.0,37.5,324,13.012504577636719,6.0555164304531806,0.8194498222163743
gemini_n30,mag0,Empty feed,3,45.0,60.0,52.5,269,11.36850357055664,2.4227343983027723,nan
gemini_n30,mag1,1 conspiracy,0,0.0,15.0,7.5,232,22.41261863708496,8.49231595708531,0.635051601948778
gemini_n30,mag1,1 conspiracy,1,15.0,30.0,22.5,307,16.301759719848633,9.247359866434257,0.5559289807175692
gemini_n30,mag1,1 conspiracy,2,30.0,45.0,37.5,221,12.058165550231934,8.712629023071784,0.8160238026297625
gemini_n30,mag1,1 conspiracy,3,45.0,60.0,52.5,115,6.194893836975098,6.603925513206701,nan
gemini_n30,mag5,5 conspiracies,0,0.0,15.0,7.5,306,23.34646224975586,9.763816990980695,0.7610197256092507
gemini_n30,mag5,5 conspiracies,1,15.0,30.0,22.5,291,14.31461238861084,8.814511867860633,nan
gemini_n30,mag5,5 conspiracies,2,30.0,45.0,37.5,0,0.0,nan,nan
gemini_n30,mag5,5 conspiracies,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n30,mag25,25 conspiracies,0,0.0,15.0,7.5,293,21.97942352294922,9.819001275875763,0.5638255140553852
gemini_n30,mag25,25 conspiracies,1,15.0,30.0,22.5,292,16.645389556884766,9.361786914975015,nan
gemini_n30,mag25,25 conspiracies,2,30.0,45.0,37.5,0,0.0,nan,nan
gemini_n30,mag25,25 conspiracies,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n30,dom-agi,25 AGI hype,0,0.0,15.0,7.5,301,17.785917282104492,10.71871906221456,0.8360546588619877
gemini_n30,dom-agi,25 AGI hype,1,15.0,30.0,22.5,201,7.367654323577881,10.108363585756223,0.7304283299932463
gemini_n30,dom-agi,25 AGI hype,2,30.0,45.0,37.5,94,4.398637771606445,6.502651218962216,0.5552352165013655
gemini_n30,dom-agi,25 AGI hype,3,45.0,60.0,52.5,54,3.398688554763794,7.483575085652524,nan
gemini_n30,dom-tech,25 tech humor,0,0.0,15.0,7.5,318,21.645191192626953,9.785921693921846,0.4423713577165654
gemini_n30,dom-tech,25 tech humor,1,15.0,30.0,22.5,353,17.940250396728516,7.663088977360814,0.3917179365198079
gemini_n30,dom-tech,25 tech humor,2,30.0,45.0,37.5,305,15.914163589477539,7.013305978177679,0.6130236296450001
gemini_n30,dom-tech,25 tech humor,3,45.0,60.0,52.5,262,13.540413856506348,7.034679108722025,nan
