run_uid,model_display,condition,bin_idx,bin_label,n_posts_cumulative,gzip,distinct5,llm_collapse
622f84977711e3c80802f4c0c0518fa5730ddbe0,Kimi K2.5,dom-agi,1,15-30,221,0.27770788231871574,0.8862261834386794,3.9176470588235293
622f84977711e3c80802f4c0c0518fa5730ddbe0,Kimi K2.5,dom-agi,2,30-45,334,0.27076039061569607,0.8783302617688633,4.121556886227545
622f84977711e3c80802f4c0c0518fa5730ddbe0,Kimi K2.5,dom-agi,3,45-60,444,0.26398372688745386,0.8671357354704361,4.283333333333332
6336340d7b86d78a9e57368308f8d13d132bf5c7,GLM-5,mag5,0,0-15,82,0.3181380652451401,0.9730682911189484,3.863414634146341
6336340d7b86d78a9e57368308f8d13d132bf5c7,GLM-5,mag5,1,15-30,129,0.3121554880829826,0.9674867840534203,3.8992248062015498
6336340d7b86d78a9e57368308f8d13d132bf5c7,GLM-5,mag5,2,30-45,170,0.30760575402791657,0.9632935335145998,3.924705882352941
6336340d7b86d78a9e57368308f8d13d132bf5c7,GLM-5,mag5,3,45-60,228,0.3017973732637576,0.9570902878170587,3.9517543859649122
6d3e2805af6653babf2fedb85ca20790cd830d58,GPT-5,mag25,0,0-15,141,0.3394418872266974,0.9224351334005685,4.445390070921985
6d3e2805af6653babf2fedb85ca20790cd830d58,GPT-5,mag25,1,15-30,241,0.3060312074784852,0.8488976823063877,4.55850622406639
6d3e2805af6653babf2fedb85ca20790cd830d58,GPT-5,mag25,2,30-45,328,0.2915125121162064,0.8124836087070548,4.588414634146341
6d3e2805af6653babf2fedb85ca20790cd830d58,GPT-5,mag25,3,45-60,346,0.2909871523825012,0.8076202373516552,4.593641618497109
852f26a14ae81926ea3105598ca9785c486f6611,Kimi K2.5,mag25,0,0-15,139,0.31283941407410687,0.9654819940242176,3.979856115107914
852f26a14ae81926ea3105598ca9785c486f6611,Kimi K2.5,mag25,1,15-30,254,0.3021643853018706,0.9484538616587188,4.151968503937008
