condition,n_runs,delta_vendi_score_mean,delta_vendi_score_ci_low,delta_vendi_score_ci_high,delta_vendi_score_n_negative,delta_mean_pairwise_cosine_mean,delta_mean_pairwise_cosine_ci_low,delta_mean_pairwise_cosine_ci_high,delta_mean_pairwise_cosine_n_negative,delta_semantic_radius_mean,delta_semantic_radius_ci_low,delta_semantic_radius_ci_high,delta_semantic_radius_n_negative
dom-agi,21,-1.2716968128600359,-1.9278599192325767,-0.7093494243855691,17,0.097614486515522,0.03268488977104425,0.17892373070120807,4,-0.07295789644122123,-0.125144962137565,-0.027515627192333345,15
dom-tech,20,-1.3436184964332416,-2.2115575099393894,-0.5401753777753022,15,0.11335992813110352,0.051442346996382664,0.1904748773104266,5,-0.07643799885715309,-0.12539201144276088,-0.03662986973006475,14
mag0,24,-1.431961251073026,-1.9218716366999358,-0.9630378486921901,22,0.0951208621263504,0.0528239757133027,0.15362656352420648,2,-0.06824705082302292,-0.10609693988226354,-0.04046184993349016,22
mag1,19,-1.481293323310633,-2.1499874248861657,-0.7782953781859911,17,0.10986992246226261,0.06910050578023258,0.14984382638021518,1,-0.08064100224720805,-0.10859420483833865,-0.0506791887706832,18
mag25,26,-1.4796090122926184,-2.0909684174511614,-0.9516652610049676,24,0.07653534412384033,0.030313196250547965,0.1374301101081073,6,-0.0600852674494187,-0.0996726883109659,-0.02778032748028636,18
mag5,21,-1.335146025542728,-2.040515058062611,-0.6540479085878028,19,0.10068632513284684,0.03254616733640432,0.17228910628706212,5,-0.07004244700074196,-0.11711792004294692,-0.024222409836947928,16
