condition,n_judged,collapse_index_mean,semantic_repetition_mean,narrative_convergence_mean,groupthink_mean,template_rigidity_mean
mag0,287,3.791811846689895,3.7386759581881535,4.369337979094077,3.8292682926829267,3.229965156794425
mag1,296,3.7162162162162162,3.685810810810811,4.216216216216216,3.7533783783783785,3.2094594594594597
mag5,297,3.894781144781145,3.8013468013468015,4.393939393939394,3.936026936026936,3.4478114478114477
mag25,317,3.888801261829653,3.7886435331230284,4.419558359621451,3.9747634069400632,3.3722397476340693
dom-agi,298,3.8414429530201346,3.7651006711409396,4.352348993288591,3.859060402684564,3.389261744966443
dom-tech,296,3.9383445945945943,3.858108108108108,4.466216216216216,4.023648648648648,3.4054054054054053
