dataset_source,group,model_family,condition,scale,run_path,q1_vendi_score,q4_vendi_score,delta_vendi_score,q1_mean_pairwise_cosine,q4_mean_pairwise_cosine,delta_mean_pairwise_cosine,q1_semantic_radius,q4_semantic_radius,delta_semantic_radius,q1_posts,q4_posts,collapse_index,n_judged
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.294045078006665,4.745055467811433,-0.5489896101952318,0.4684692919254303,0.3994377553462982,-0.06903153657913208,0.3122691214084625,0.3545569181442261,0.04228779673576355,118,35,3.5384615384615383,13
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260403,6.517308316689709,4.107792477074015,-2.409515839615694,0.37754935026168823,0.4944407641887665,0.11689141392707825,0.3805549442768097,0.2887119650840759,-0.09184297919273376,101,44,3.8035714285714284,14
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.8516899375218125,4.161344727541238,-1.690345209980575,0.4024180471897125,0.4435324966907501,0.0411144495010376,0.36059120297431946,0.3197639584541321,-0.04082724452018738,93,29,3.6785714285714284,14
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag1,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260403,8.51829691353292,3.9614229597223525,-4.556873953810568,0.25300830602645874,0.4444960057735443,0.19148769974708557,0.4905288517475128,0.31857842206954956,-0.17195042967796326,114,28,2.1964285714285716,14
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag25,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,6.027378898289148,4.351762845058313,-1.6756160532308346,0.39051738381385803,0.46957138180732727,0.07905399799346924,0.3694411814212799,0.305593341588974,-0.06384783983230591,86,42,3.892857142857143,14
archive-2026,base-model,google/gemini-3.1-flash-lite-preview,mag5,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-new-1hr/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260403,5.114643697020762,4.919016764567199,-0.1956269324535631,0.42993274331092834,0.2591215968132019,-0.17081114649772644,0.3383794128894806,0.45400071144104004,0.11562129855155945,73,19,2.230769230769231,13
archive-2026,base-model,olmo3-32b-base,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260407,4.653732422311735,1.5544725254210399,-3.099259896890695,0.2917795777320862,0.3564557135105133,0.06467613577842712,0.4360763132572174,0.17645415663719177,-0.25962215662002563,27,2,4.083333333333333,3
archive-2026,base-model,olmo3-32b-base,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,4.223569640427643,2.8464483572723664,-1.3771212831552764,0.518271803855896,0.5987086892127991,0.08043688535690308,0.27629703283309937,0.21550707519054413,-0.06078995764255524,88,24,4.818181818181818,11
archive-2026,base-model,olmo3-32b-base,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260407,2.8304325642147123,1.5702780630715136,-1.2601545011431987,0.5708464980125427,0.7531064748764038,0.18225997686386108,0.2322074919939041,0.10418454557657242,-0.1280229464173317,23,5,4.833333333333333,3
archive-2026,base-model,olmo3-32b-base,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,6.754150355993687,3.148031379746824,-3.6061189762468633,0.34257328510284424,0.5888518691062927,0.2462785840034485,0.40942785143852234,0.2264280915260315,-0.18299975991249084,106,43,4.403846153846154,13
archive-2026,base-model,olmo3-32b-base,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260407,4.93219402677468,1.2518084247368728,-3.6803856020378074,0.3082130253314972,0.9082028269767761,0.5999898016452789,0.42626121640205383,0.0401475690305233,-0.38611364737153053,33,7,5.0,1
archive-2026,base-model,olmo3-32b-base,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,6.6662211811166285,6.0349532030609545,-0.631267978055674,0.3577132821083069,0.3346037268638611,-0.0231095552444458,0.39766213297843933,0.4129007160663605,0.015238583087921143,126,66,3.8958333333333335,12
archive-2026,base-model,olmo3-32b-base,mag1,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-mag1-n10-run01-gemini-3.1-flash-lite-preview-20260408,5.055257845157535,2.733149579419001,-2.3221082657385343,0.4130508005619049,0.6236796975135803,0.21062889695167542,0.35241827368736267,0.20180223882198334,-0.15061603486537933,93,28,4.675,10
archive-2026,base-model,olmo3-32b-base,mag25,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base-server-fetch-ignore/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260407,4.528965269423029,,,0.3074488639831543,,,0.4135711193084717,,,19,1,4.875,4
archive-2026,base-model,olmo3-32b-base,mag25,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260408,7.4040876385158905,3.30975334207336,-4.094334296442531,0.2982621192932129,0.5103408098220825,0.21207869052886963,0.44772323966026306,0.27147868275642395,-0.1762445569038391,104,24,4.25,10
archive-2026,base-model,olmo3-32b-base,mag5,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-base/bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,7.140081754933707,2.8825744831882876,-4.257507271745419,0.3227219879627228,0.6023218631744385,0.2795998752117157,0.42626461386680603,0.21594054996967316,-0.21032406389713287,105,32,4.453125,16
archive-2026,base-model,olmo3-32b-instruct,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct-server-fetch-ignore/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260406,3.2568710544892308,2.536688801010753,-0.7201822534784776,0.628007173538208,0.6737126708030701,0.04570549726486206,0.2051873803138733,0.17301201820373535,-0.03217536211013794,100,32,4.625,6
archive-2026,base-model,olmo3-32b-instruct,dom-agi,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,4.014677745683105,4.202947127841616,0.18826938215851108,0.5334779024124146,0.4699099361896515,-0.06356796622276306,0.26628509163856506,0.30710461735725403,0.040819525718688965,96,52,4.65625,8
archive-2026,base-model,olmo3-32b-instruct,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct-server-fetch-ignore/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260406,2.149857512751306,2.655981815758213,0.5061243030069069,0.7636945247650146,0.6719378232955933,-0.09175670146942139,0.12399384379386902,0.175531268119812,0.05153742432594299,64,42,5.0,2
archive-2026,base-model,olmo3-32b-instruct,dom-tech,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,5.089791207690691,2.279673431583266,-2.8101177761074254,0.4452126920223236,0.7170530557632446,0.271840363740921,0.3281024992465973,0.1491449475288391,-0.17895755171775818,89,41,4.107142857142857,7
archive-2026,base-model,olmo3-32b-instruct,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct-server-fetch-ignore/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260406,3.2987581393483247,2.5637206460818747,-0.7350374932664501,0.6335256695747375,0.6927178502082825,0.05919218063354492,0.2019280046224594,0.164353609085083,-0.037574395537376404,108,55,4.95,5
archive-2026,base-model,olmo3-32b-instruct,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,4.284705420421026,3.9523917127673323,-0.3323137076536935,0.5096732974052429,0.5131635665893555,0.003490269184112549,0.28279152512550354,0.27770882844924927,-0.0050826966762542725,104,57,3.6875,4
archive-2026,base-model,olmo3-32b-instruct,mag0,n10,exports/huggingface/Ayushnangia/moltbook-archive-2026-targeted/archive/project-results/base-model-olmo3-32b-instruct/mag0-contaminated-ignore/bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260408,5.0998064079210135,2.441283043472783,-2.6585233644482305,0.4593454897403717,0.5253978371620178,0.06605234742164612,0.31890618801116943,0.23532816767692566,-0.08357802033424377,119,8,4.125,2
