group,n_judged,collapse_index_mean,semantic_repetition_mean,narrative_convergence_mean,groupthink_mean,template_rigidity_mean
canonical-48,768,4.037434895833334,3.9752604166666665,4.615885416666667,4.17578125,3.3828125
entropy-collapse,796,4.029208542713568,3.958542713567839,4.546482412060302,4.1206030150753765,3.491206030150754
source-citation,64,3.83984375,3.625,4.25,3.6875,3.796875
base-model,511,3.5019569471624266,3.3972602739726026,3.9608610567514675,3.524461839530333,3.1252446183953033
frontier/mixed-model,16,3.375,3.25,4.1875,3.3125,2.75
obsession,110,3.2818181818181817,2.809090909090909,3.7181818181818183,2.8454545454545452,3.7545454545454544
