group,n_judged,novelty_mean,novelty_ci_low,novelty_ci_high,semantic_repetition_mean,semantic_repetition_ci_low,semantic_repetition_ci_high,narrative_convergence_mean,narrative_convergence_ci_low,narrative_convergence_ci_high,groupthink_mean,groupthink_ci_low,groupthink_ci_high,template_rigidity_mean,template_rigidity_ci_low,template_rigidity_ci_high,evidence_grounding_mean,evidence_grounding_ci_low,evidence_grounding_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,epistemic_caution_mean,epistemic_caution_ci_low,epistemic_caution_ci_high,source_citation_quality_mean,source_citation_quality_ci_low,source_citation_quality_ci_high,collapse_index_mean
base-model,511,1.917808219178082,1.8473091976516633,1.9922211350293542,3.3972602739726026,3.283757338551859,3.5107632093933465,3.9608610567514675,3.8453522504892366,4.082191780821918,3.524461839530333,3.3893835616438355,3.655577299412916,3.1252446183953033,3.025440313111546,3.2251467710371817,1.4657534246575343,1.3953033268101762,1.5401663405088062,2.4090019569471623,2.3072407045009786,2.51472602739726,1.933463796477495,1.8512720156555773,2.015655577299413,1.0332681017612524,1.015655577299413,1.0567514677103718,3.5019569471624266
canonical-48,768,1.8697916666666667,1.8151041666666667,1.9297200520833333,3.9752604166666665,3.9023111979166667,4.039095052083333,4.615885416666667,4.563802083333333,4.666666666666667,4.17578125,4.098925781249999,4.252604166666667,3.3828125,3.29814453125,3.4726888020833333,1.4713541666666667,1.4205403645833334,1.5247395833333333,2.69140625,2.6171549479166667,2.764388020833333,2.1927083333333335,2.1158854166666665,2.2721354166666665,1.0143229166666667,1.00390625,1.0286458333333333,4.037434895833334
entropy-collapse,796,1.8391959798994975,1.7813756281407036,1.8995288944723618,3.958542713567839,3.8894472361809047,4.03140703517588,4.546482412060302,4.487405778894472,4.606815326633166,4.1206030150753765,4.042713567839196,4.203517587939698,3.491206030150754,3.404491206030151,3.580433417085427,1.4258793969849246,1.376821608040201,1.4761306532663316,2.527638190954774,2.448461055276382,2.6042713567839195,2.1520100502512562,2.067807788944724,2.2299309045226128,1.020100502512563,1.0075376884422111,1.0326633165829147,4.029208542713568
frontier/mixed-model,16,2.4375,2.0,2.9375,3.25,2.75,3.6875,4.1875,3.75,4.5625,3.3125,2.8125,3.8125,2.75,2.1875,3.3125,2.1875,1.5,3.0625,2.875,2.25,3.625,3.125,2.5,3.75,1.5625,1.0625,2.1875,3.375
obsession,110,2.827272727272727,2.6636363636363636,2.9909090909090907,2.809090909090909,2.590909090909091,3.0272727272727273,3.7181818181818183,3.5086363636363638,3.9363636363636365,2.8454545454545452,2.6272727272727274,3.0729545454545453,3.7545454545454544,3.5,4.0002272727272725,2.409090909090909,2.2181818181818183,2.590909090909091,4.1454545454545455,3.9725,4.3,2.6,2.3997727272727274,2.7911363636363635,1.0909090909090908,1.0272727272727273,1.1636363636363636,3.2818181818181817
source-citation,64,2.078125,1.875,2.3125,3.625,3.359375,3.890625,4.25,4.0,4.484375,3.6875,3.375,4.000390625,3.796875,3.484375,4.09375,1.5,1.296875,1.734375,3.15625,2.890625,3.421875,2.515625,2.25,2.7660156249999996,1.03125,1.0,1.078125,3.83984375
