group,n_runs,delta_vendi_score_mean,delta_vendi_score_ci_low,delta_vendi_score_ci_high,delta_vendi_score_n_negative,delta_mean_pairwise_cosine_mean,delta_mean_pairwise_cosine_ci_low,delta_mean_pairwise_cosine_ci_high,delta_mean_pairwise_cosine_n_negative,delta_semantic_radius_mean,delta_semantic_radius_ci_low,delta_semantic_radius_ci_high,delta_semantic_radius_n_negative
base-model,41,-1.734189567048612,-2.2146160038278535,-1.2898847140816305,34,0.08971708126970239,0.04587250269345335,0.13606995376380715,10,-0.07983298106370745,-0.11273534063853927,-0.04773542594063927,27
entropy-collapse,57,-1.5129667727438272,-1.8863451459116136,-1.161902038037587,54,0.12494957708475883,0.08798541846243958,0.16709185768114893,4,-0.08178607769833322,-0.10712620591287289,-0.05898886746808626,52
obsession,9,0.6542614578489833,-0.38545935533838865,1.6886056655707125,4,0.011095292866230011,-0.006920370366424322,0.029363315086811774,2,-0.00851374864578247,-0.023099273163825273,0.00639381790533661,6
