condition,n_full_nonseed_posts,n_judged,weighted_novelty,weighted_semantic_repetition,weighted_narrative_convergence,weighted_groupthink,weighted_specificity,weighted_evidence_grounding,weighted_epistemic_caution,weighted_template_rigidity,weighted_source_citation_quality,collapse_index
mag0,20767,364,1.8057886310011075,4.047950674949038,4.631729426493957,4.153053321776536,2.713522856775975,1.4648360379448162,1.8576337057190095,3.5446591948764867,1.0373067848028121,4.094348154524004
mag1,16006,375,1.8147404792647202,3.9901187228400463,4.6052274667832895,4.166261002818388,2.853448186096881,1.6077243603093283,2.2391112881280635,3.516956748858067,1.0226204235911533,4.069640985324948
mag5,18103,375,1.6639600215008987,4.175739040278067,4.6788898142679285,4.299942848401667,2.5211944259132566,1.3650712376614162,2.0121348883950385,3.7814291298934726,1.0109961056178534,4.234000208210284
mag25,21051,397,1.808922576916378,4.021188621284817,4.664311671654553,4.317232356340949,2.7476226386711633,1.585638449479835,2.1486463430082496,3.7310509793675677,1.0277263154561145,4.183445907161971
dom-agi,15740,379,1.777704331414904,4.036403077871751,4.60082009981199,4.1511563040815975,2.6280186874378333,1.4633433854433182,1.854558162332473,3.773652164413806,1.0169077400288626,4.140507911544786
dom-tech,15648,375,1.7705989091749252,4.034617350951707,4.607943158952073,4.218589415867023,2.6756854935176446,1.5132440944365788,1.8218925331655393,3.6210053672788525,1.0029031112356457,4.120538823262414
