group,novelty,semantic_repetition,narrative_convergence,groupthink,specificity,evidence_grounding,epistemic_caution,template_rigidity,source_citation_quality,n_judged
base-model,1.917808219178082,3.3972602739726026,3.9608610567514675,3.524461839530333,2.4090019569471623,1.4657534246575343,1.933463796477495,3.1252446183953033,1.0332681017612524,511
canonical-48,1.8697916666666667,3.9752604166666665,4.615885416666667,4.17578125,2.69140625,1.4713541666666667,2.1927083333333335,3.3828125,1.0143229166666667,768
entropy-collapse,1.8391959798994975,3.958542713567839,4.546482412060302,4.1206030150753765,2.527638190954774,1.4258793969849246,2.1520100502512562,3.491206030150754,1.020100502512563,796
frontier/mixed-model,2.4375,3.25,4.1875,3.3125,2.875,2.1875,3.125,2.75,1.5625,16
obsession,2.827272727272727,2.809090909090909,3.7181818181818183,2.8454545454545452,4.1454545454545455,2.409090909090909,2.6,3.7545454545454544,1.0909090909090908,110
source-citation,2.078125,3.625,4.25,3.6875,3.15625,1.5,2.515625,3.796875,1.03125,64
